"id";"word";"answer"
"1";"Title: The Friendly Visit";"La Visita Amistosa"
"2";"They win free tickets for a local show.";"Ellos ganan boletos gratis para un show local."
"3";"You talk with the host at the entrance.";"Hablas con el anfitrión en la entrada."
"4";"We try to find our seats before the lights go down.";"Intentamos encontrar nuestros asientos antes de que bajen las luces."
"5";"I invite my neighbor to sit with us.";"Invito a mi vecino a sentarse con nosotros."
"6";"She washes her hands after eating popcorn.";"Ella se lava las manos después de comer palomitas."
"7";"The staff clean the floor between shows.";"El personal limpia el piso entre funciones."
"8";"They call the winners to the stage.";"Llaman a los ganadores al escenario."
"9";"More guests arrive and fill the theater.";"Más invitados llegan y llenan el teatro."
"10";"We carry our jackets because it gets cold inside.";"Llevamos nuestras chamarras porque se pone frío adentro."
"11";"After the show, we are going to send a thank‑you message.";"Después del show, vamos a mandar un mensaje de agradecimiento."
