"id";"word";"answer"
"1";"leave";"abandonar"
"2";"open";"abrir"
"3";"end";"acabar"
"4";"accept";"aceptar"
"5";"bring over";"acercar"
"6";"accompany";"acompañar"
"7";"agree";"acordar"
"8";"act";"actuar"
"9";"go to";"acudir"
"10";"purchase";"adquirir"
"11";"warn";"advertir"
"12";"affect";"afectar"
"13";"claim";"afirmar"
"14";"add";"agregar"
"15";"reach";"alcanzar"
"16";"analyze";"analizar"
"17";"walk";"andar"
"18";"announce";"anunciar"
"19";"appear";"aparecer"
"20";"apply";"aplicar"
"21";"provide";"aportar"
"22";"support";"apoyar"
"23";"learn";"aprender"
"24";"approve";"aprobar"
"25";"take advantage of";"aprovechar"
"26";"point out";"apuntar"
"27";"secure";"asegurar"
"28";"attend";"asistir"
"29";"link";"asociar"
"30";"assume";"asumir"
"31";"attend";"atender"
"32";"increase";"aumentar"
"33";"advance";"avanzar"
"34";"warn";"avisar"
"35";"help";"ayudar"
"36";"add";"añadir"
"37";"download";"bajar"
"38";"base";"basar"
"39";"search";"buscar"
"40";"fall";"caer"
"41";"change";"cambiar"
"42";"walk";"caminar"
"43";"sing";"cantar"
"44";"cause";"causar"
"45";"celebrate";"celebrar"
"46";"close";"cerrar"
"47";"quote";"citar"
"48";"place";"colocar"
"49";"comment";"comentar"
"50";"start";"comenzar"
"51";"eat";"comer"
"52";"share";"compartir"
"53";"buy";"comprar"
"54";"understand";"comprender"
"55";"conclude";"concluir"
"56";"drive";"conducir"
"57";"confirm";"confirmar"
"58";"know";"conocer"
"59";"get";"conseguir"
"60";"consider";"considerar"
"61";"consist of";"consistir"
"62";"constitute";"constituir"
"63";"build";"construir"
"64";"count";"contar"
"65";"see";"contemplar"
"66";"contain";"contener"
"67";"answer";"contestar"
"68";"continue";"continuar"
"69";"contribute";"contribuir"
"70";"check";"controlar"
"71";"convince";"convencer"
"72";"convert";"convertir"
"73";"run";"correr"
"74";"correspond";"corresponder"
"75";"cut";"cortar"
"76";"cost";"costar"
"77";"create";"crear"
"78";"grow";"crecer"
"79";"believe";"creer"
"80";"cross";"cruzar"
"81";"cover";"cubrir"
"82";"care";"cuidar"
"83";"meet";"cumplir"
"84";"give";"dar"
"85";"must";"deber"
"86";"decide";"decidir"
"87";"say";"decir"
"88";"declare";"declarar"
"89";"dedicate";"dedicar"
"90";"defend";"defender"
"91";"define";"definir"
"92";"leave";"dejar"
"93";"show";"demostrar"
"94";"depend";"depender"
"95";"disappear";"desaparecer"
"96";"develop";"desarrollar"
"97";"describe";"describir"
"98";"discover";"descubrir"
"99";"wish";"desear"
"100";"wake up";"despertar"
"101";"highlight";"destacar"
"102";"stop";"detener"
"103";"determine";"determinar"
"104";"address";"dirigir"
"105";"enjoy";"disfrutar"
"106";"arrange";"disponer"
"107";"sleep";"dormir"
"108";"cast out of";"echar"
"109";"elaborate";"elaborar"
"110";"choose";"elegir"
"111";"start";"empezar"
"112";"use";"emplear"
"113";"find";"encontrar"
"114";"confront";"enfrentar"
"115";"show";"enseñar"
"116";"understand";"entender"
"117";"enter";"entrar"
"118";"deliver";"entregar"
"119";"send";"enviar"
"120";"write";"escribir"
"121";"listen to";"escuchar"
"122";"wait";"esperar"
"123";"establish";"establecer"
"124";"be";"estar"
"125";"study";"estudiar"
"126";"avoid";"evitar"
"127";"demand";"exigir"
"128";"exist";"existir"
"129";"explain";"explicar"
"130";"exhibit";"exponer"
"131";"express";"expresar"
"132";"extend";"extender"
"133";"skip";"faltar"
"134";"post";"fijar"
"135";"sign";"firmar"
"136";"form";"formar"
"137";"work";"funcionar"
"138";"win";"ganar"
"139";"guarantee";"garantizar"
"140";"generate";"generar"
"141";"shout";"gritar"
"142";"save";"guardar"
"143";"like";"gustar"
"144";"have";"haber"
"145";"speak";"hablar"
"146";"make";"hacer"
"147";"find";"hallar"
"148";"identify";"identificar"
"149";"imagine";"imaginar"
"150";"prevent";"impedir"
"151";"involve";"implicar"
"152";"impose";"imponer"
"153";"import";"importar"
"154";"include";"incluir"
"155";"incorporate";"incorporar"
"156";"indicate";"indicar"
"157";"inform";"informar"
"158";"start";"iniciar"
"159";"insist";"insistir"
"160";"install";"instalar"
"161";"integrate";"integrar"
"162";"try";"intentar"
"163";"interest";"interesar"
"164";"interpret";"interpretar"
"165";"invite";"invitar"
"166";"go";"ir"
"167";"play";"jugar"
"168";"launch";"lanzar"
"169";"read";"leer"
"170";"raise";"levantar"
"171";"limit";"limitar"
"172";"call";"llamar"
"173";"arrive";"llegar"
"174";"fill out";"llenar"
"175";"take";"llevar"
"176";"cry";"llorar"
"177";"achieve";"lograr"
"178";"send";"mandar"
"179";"manifest";"manifestar"
"180";"maintain";"mantener"
"181";"mark";"marcar"
"182";"improve";"mejorar"
"183";"mention";"mencionar"
"184";"tuck in";"meter"
"185";"see";"mirar"
"186";"die";"morir"
"187";"show";"mostrar"
"188";"move";"mover"
"189";"birth";"nacer"
"190";"need";"necesitar"
"191";"deny";"negar"
"192";"note";"notar"
"193";"force";"obligar"
"194";"see";"observar"
"195";"get";"obtener"
"196";"occupy";"ocupar"
"197";"occur";"ocurrir"
"198";"offer";"ofrecer"
"199";"forget";"olvidar"
"200";"order";"ordenar"
"201";"organize";"organizar"
"202";"hear";"oír"
"203";"pay";"pagar"
"204";"stop";"parar"
"205";"seem";"parecer"
"206";"participate";"participar"
"207";"start";"partir"
"208";"pass by";"pasar"
"209";"ask for";"pedir"
"210";"think";"pensar"
"211";"lose";"perder"
"212";"stay";"permanecer"
"213";"allow";"permitir"
"214";"belong to";"pertenecer"
"215";"raise";"plantear"
"216";"be able to";"poder"
"217";"put";"poner"
"218";"own";"poseer"
"219";"prefer";"preferir"
"220";"ask";"preguntar"
"221";"concern";"preocupar"
"222";"prepare";"preparar"
"223";"present";"presentar"
"224";"pretend";"pretender"
"225";"foresee";"prever"
"226";"produce";"producir"
"227";"promote";"promover"
"228";"propose";"proponer"
"229";"protect";"proteger"
"230";"provoke";"provocar"
"231";"publish";"publicar"
"232";"stay";"quedar"
"233";"want";"querer"
"234";"remove";"quitar"
"235";"make";"realizar"
"236";"receive";"recibir"
"237";"pick up";"recoger"
"238";"recognize";"reconocer"
"239";"remember";"recordar"
"240";"tour";"recorrer"
"241";"retrieve";"recuperar"
"242";"reduce";"reducir"
"243";"refer to";"referir"
"244";"reflect";"reflejar"
"245";"register";"registrar"
"246";"return";"regresar"
"247";"link";"relacionar"
"248";"repeat";"repetir"
"249";"represent";"representar"
"250";"request";"requerir"
"251";"solve";"resolver"
"252";"answer";"responder"
"253";"result";"resultar"
"254";"withdraw";"retirar"
"255";"gather";"reunir"
"256";"reveal";"revelar"
"257";"laugh";"reír"
"258";"go around";"rodear"
"259";"break";"romper"
"260";"know";"saber"
"261";"take out";"sacar"
"262";"exit";"salir"
"263";"follow";"seguir"
"264";"sit";"sentar"
"265";"feel";"sentir"
"266";"separate";"separar"
"267";"be";"ser"
"268";"serve";"servir"
"269";"point out";"señalar"
"270";"mean";"significar"
"271";"locate";"situar"
"272";"be used to";"soler"
"273";"request";"solicitar"
"274";"submit";"someter"
"275";"sound";"sonar"
"276";"smile";"sonreír"
"277";"surprise";"sorprender"
"278";"hold";"sostener"
"279";"go up";"subir"
"280";"succeed";"suceder"
"281";"suffer";"sufrir"
"282";"add";"sumar"
"283";"go beyond";"superar"
"284";"assume";"suponer"
"285";"arise";"surgir"
"286";"have";"tener"
"287";"finish";"terminar"
"288";"throw away";"tirar"
"289";"touch";"tocar"
"290";"take";"tomar"
"291";"work";"trabajar"
"292";"bring";"traer"
"293";"transform";"transformar"
"294";"try";"tratar"
"295";"locate";"ubicar"
"296";"join";"unir"
"297";"use";"usar"
"298";"use";"utilizar"
"299";"sell";"vender"
"300";"come";"venir"
"301";"see";"ver"
"302";"dress";"vestir"
"303";"travel";"viajar"
"304";"visit";"visitar"
"305";"live";"vivir"
"306";"back to";"volver"
