"id";"word";"answer"
"1";"Title: Evening Walk Through The Neighborhood";"Caminata Vespertina Por El Vecindario"
"2";"I start my walk feeling a little tired.";"Empiezo mi caminata sintiéndome un poco cansado."
"3";"The warm lights glow softly on houses.";"Las luces cálidas brillan suavemente en las casas."
"4";"A cold breeze moves along the street.";"Una brisa fría avanza por la calle."
"5";"The fresh smell of rain fills the air.";"El olor fresco de lluvia llena el aire."
"6";"I am going to open my small umbrella.";"Voy a abrir mi paraguas pequeño."
"7";"The open path leads toward the park.";"El camino abierto lleva hacia el parque."
"8";"The closed gate blocks the shortcut today.";"La reja cerrada bloquea el atajo hoy."
"9";"The full trash bin sits near the corner.";"El bote lleno está cerca de la esquina."
"10";"The empty bench waits under a tall tree.";"La banca vacía espera bajo un árbol alto."
"11";"I clean my shoes after stepping in mud.";"Limpio mis zapatos después de pisar lodo."
"12";"The dirty puddles reflect the streetlights.";"Los charcos sucios reflejan las farolas."
"13";"We are going to buy a quick snack.";"Vamos a comprar una botana rápida."
"14";"The ready stand sells warm evening tamales.";"El puesto listo vende tamales calientitos."
"15";"The finished batch disappears in minutes.";"El lote terminado desaparece en minutos."
"16";"A broken sign leans against the fence.";"Un letrero roto se recarga en la cerca."
"17";"A lost dog wanders slowly near the swings.";"Un perro perdido camina despacio cerca de los columpios."
"18";"They are going to call the safe shelter.";"Van a llamar al refugio seguro."
"19";"A rich smell of chocolate drifts nearby.";"Un olor rico a chocolate pasa cerca."
"20";"A poor light flickers above the pathway.";"Una luz pobre parpadea sobre el sendero."
"21";"I am going to catch the fast night bus.";"Voy a tomar el camión rápido de la noche."
