"to help";"ayudar"
"to look for";"buscar"
"to change";"cambiar"
"to walk";"caminar"
"to cook";"cocinar"
"to buy";"comprar"
"to enter / go in";"entrar"
"to wait / hope";"esperar"
"to speak / talk";"hablar"
"to clean";"limpiar"
"to call";"llamar"
"to carry / wear / take";"llevar"
"to look at / watch";"mirar"
"to need";"necesitar"
"to pay";"pagar"
"to ask (a question)";"preguntar"
"to prepare";"preparar"
"to return / come back";"regresar"
"to play (instrument)";"tocar"
"to take / drink";"tomar"
"to work";"trabajar"
"to use";"usar"
"to visit";"visitar"
"to study";"estudiar"
"to travel";"viajar"
"to dance";"bailar"
"to send";"mandar"
"to answer";"contestar"
"to finish";"terminar"
"to begin / start";"empezar"
"to listen";"escuchar"
"to practice";"practicar"
"to explain";"explicar"
"to show";"mostrar"
"to try / attempt";"intentar"
"to invite";"invitar"
"to wash";"lavar"
"to send / ship";"enviar"
"to forget";"olvidar"
"to remember";"recordar"
"to stay / remain";"quedar"
"to access / enter";"acceder"
"to save (money)";"ahorrar"
"to rent";"alquilar"
"to cancel";"cancelar"
"to rest";"descansar"
"to draw";"dibujar"
"to win / earn";"ganar"
"to arrive";"llegar"
"to revisit";"revisitar"
