"I eat a warm meal.";"(yo) como una comida tibia"
"We eat in the bright room.";"(nosotros) comemos en el cuarto brillante"
"He drinks the cold juice.";"(él) bebe el jugo frío"
"You drink the fresh water. [sing, inf]";"(tú) bebes el agua fresca"
"You learn the short lesson. [sing, formal]";"(usted) aprende la lección corta"
"They learn simple words. [pl]";"(ustedes) aprenden palabras simples"
"I understand your clear idea.";"(yo) comprendo tu idea clara"
"She understands the basic rule.";"(ella) comprende la regla básica"
"You respond with quick words. [sing, inf]";"(tú) respondes con palabras rápidas"
"We respond to the short note.";"(nosotros) respondemos a la nota corta"
"You sell the old radio. [sing, formal]";"(usted) vende la radio vieja"
"You sell the small lamp. [pl]";"(ustedes) venden la lámpara pequeña"
"He runs on the quiet street.";"(él) corre en la calle tranquila"
"I run near the tall tree.";"(yo) corro cerca del árbol alto"
"You read the long article. [sing, inf]";"(tú) lees el artículo largo"
"We read the short story.";"(nosotros) leemos el cuento corto"
"She believes the simple message.";"(ella) cree el mensaje simple"
"You believe the local news. [pl]";"(ustedes) creen las noticias locales"
"I sweep the dusty floor.";"(yo) barro el piso polvoriento"
"You sweep the narrow hall. [sing, formal]";"(usted) barre el pasillo angosto"
"He breaks the thin pencil.";"(él) rompe el lápiz delgado"
"We break the old basket.";"(nosotros) rompemos la canasta vieja"
"You fear the dark night. [sing, inf]";"(tú) temes la noche oscura"
"You fear the loud thunder. [pl]";"(ustedes) temen el trueno fuerte"
"I hide the small coin.";"(yo) escondo la moneda pequeña"
"She hides the green folder.";"(ella) esconde la carpeta verde"
"You surprise your kind friend. [sing, formal]";"(usted) sorprende a su amigo amable"
"We surprise our young cousin.";"(nosotros) sorprendemos a nuestro primo joven"
"I should finish this task.";"(yo) debo terminar esta tarea"
"You should read the guide. [pl]";"(ustedes) deben leer la guía"
"He promises a short visit.";"(él) promete una visita corta"
"You promise honest work. [sing, inf]";"(tú) prometes trabajo honesto"
"We put the red book inside.";"(nosotros) metemos el libro rojo"
"You put the small toy inside. [sing, formal]";"(usted) mete el juguete pequeño"
"I depend on your calm voice.";"(yo) dependo de tu voz tranquila"
"You depend on our plan. [pl]";"(ustedes) dependen de nuestro plan"
"It happens every quiet morning.";"(él) sucede cada mañana tranquila"
"We happen in rare cases.";"(nosotros) sucedemos en casos raros"
"You protect your soft skin. [sing, inf]";"(tú) proteges tu piel suave"
"I protect my small dog.";"(yo) protejo a mi perro pequeño"
"She sews a white dress.";"(ella) cose un vestido blanco"
"You sew the blue fabric. [pl]";"(ustedes) cosen la tela azul"
"He coughs in the cold air.";"(él) tose en el aire frío"
"You cough a little today. [sing, formal]";"(usted) tose un poco hoy"
"I absorb the new information.";"(yo) absorbo la información nueva"
"We absorb the clear lesson.";"(nosotros) absorbemos la lección clara"
"You suspend the noisy class. [sing, inf]";"(tú) suspendes la clase ruidosa"
"You suspend the late meeting. [pl]";"(ustedes) suspenden la reunión tardía"
"I commit small daily errors.";"(yo) cometo errores diarios pequeños"
"She commits to the simple plan.";"(ella) comete el plan simple"
"You turn on the bright lamp. [sing, formal]";"(usted) prende la lámpara brillante"
"We turn on the old radio.";"(nosotros) prendemos la radio vieja"
"I go back to the quiet path.";"(yo) retrocedo al camino tranquilo"
"You go back to the main road. [pl]";"(ustedes) retroceden a la calle principal"
"He proceeds with slow steps.";"(él) procede con pasos lentos"
"You proceed after the short break. [sing, inf]";"(tú) procedes después del descanso corto"
"We correspond every calm week.";"(nosotros) correspondemos cada semana tranquila"
"You correspond with the new team. [sing, formal]";"(usted) corresponde con el equipo nuevo"
"I possess a small notebook.";"(yo) poseo un cuaderno pequeño"
"You possess many bright photos. [pl]";"(ustedes) poseen muchas fotos brillantes"
"You exceed the normal limit. [sing, inf]";"(tú) excedes el límite normal"
"He exceeds the high goal.";"(él) excede la meta alta"
"I offend no kind person.";"(yo) ofendo a ninguna persona amable"
"You offend the quiet group. [sing, formal]";"(usted) ofende al grupo tranquilo"
