"id";"word";"answer"
"1";"Hi! What’s up?";"¡Hola! ¿Qué onda?"
"2";"David! All good.";"¡David! Todo bien."
"3";"Hey, I’m looking for good tea. Do you know a place?";"Oye, busco té bueno. ¿Conoces un lugar?"
"4";"Yes, a shop on the avenue.";"Sí, una tienda en la avenida."
"5";"Oh, thanks.";"Ah, gracias."
"6";"You’re welcome.";"De nada."
"7";"What are you doing today?";"¿Qué haces hoy?"
"8";"Going to see my family.";"Voy con mi familia."
"9";"Nice.";"Qué padre."
"10";"And you?";"¿Y tú?"
"11";"Just errands.";"Solo mandados."
"12";"I’ll send you the location later.";"Bueno, luego te paso la ubicación."
"13";"Yes, thanks.";"Sí, gracias."
"14";"See you.";"Nos vemos."
"15";"Take care.";"Cuídate."
