yesterday,ayer,
today,hoy,
tomorrow,mañana,
day after tomorrow,pasado mañana,
tomorrow morning,mañana por [en] la mañana,
this morning,esta mañana,
this afternoon,esta tarde,
"this evening, tonight",esta noche,
this week,esta semana,
this month,este mes,
this year,este año,
this monday,este lunes,
this weekend,este fin de semana,
this summer,este verano,
an hour,una hora,
each day,cada día,
each morning,cada mañana,
each afternoon,cada tarde,
each night,cada noche,
each week,cada semana,
early,temprano,
on time,a tiempo,
late,tarde,
later,más tarde,
before,antes (de),
during,durante,
after,después (de),
"already, this instant",ya,
now,ahora,
right away,ahorita,
as soon as possible,cuanto antes,
soon,pronto,
no longer,ya no,
breakfast,el desayuno,
lunch,la comida,
dinner,la cena,
next week,la próxima semana,
next month,el próximo mes,
next year,el próximo año,
next monday,el próximo lunes,
next summer,el próximo verano,
tomorrow afternoon,mañana por [en] la tarde,
tomorrow evening,mañana por [en] la noche,
never,nunca,
once,una vez,
again,otra vez,
frequently,frecuentemente,
always,siempre,
many times,muchas veces,
sometimes,a veces,
not yet,todavía no,
still,todavía,
entonces,then,
once in a while,de vez en cuando,
what,qué,
when,cuándo,
where,dónde,
to where,adónde,
how,cómo,
who,quién,
to whom,a quién,
why,por qué,
how much,cuánto,
which,cuál,
and,y,
with,con,
"of, from, about",de,
"in, on, at",en,
"on, about",sobre,
"[in exchange] for, by, through",por,
"[intended] for, in order to",para,
a little,un poco,
a little of,un poco de,
enough,suficiente,
to much,demasiado,
this,"este, esta",
these,"estos, estas",
that,"ese, esa",
those,"esos, esas",
that over there,"aquel, aquella",
those over there,"aquellos, aquellas",
here,aquí,
there,allí,
over there,allá,
over here,acá,
more,mas,
less,menos,
all,"todo, toda",
nothing,nada,
no one,nadie,
almost,casi,
my,"mi, mis",
your [fam],"tu, tus",
"your [for] [his, her, their]","su, sus",
our,"nuestro [a], nuestros [as]",
with me,conmigo,
with you [for],con usted,
with you [fam],contigo,
with him,con él,
with her,con ella,
with us,con nosotros,
with them,con ellos [as],
with you all,con ustedes,
