"Title: The Family Visit";"La Visita Familiar"
"We owe Grandma a long visit.";"Le debemos a la abuela una visita larga."
"She depends on her glasses to read.";"Ella depende de sus lentes para leer."
"He hides a small gift behind the couch.";"Él esconde un regalito detrás del sillón."
"The kids exceed the noise limit quickly.";"Los niños exceden el límite de ruido rápido."
"I read a short story to the little ones.";"Leo un cuento corto a los pequeños."
"You put the plates in the cabinet.";"Metes los platos en el gabinete."
"They don’t want to offend Grandpa with jokes.";"No quieren ofender al abuelo con chistes."
"Grandma possesses old photos from her childhood.";"La abuela posee fotos antiguas de su infancia."
"We turn on the fan because it gets warm.";"Prendemos el ventilador porque se pone caluroso."
"Tonight I am going to proceed with the surprise.";"Esta noche voy a proceder con la sorpresa."
