"id";"word";"answer"
"1";"Title: Afternoon At The Community Workshop";"Tarde En El Taller Comunitario"
"2";"I use the big table for my project.";"Uso la mesa grande para mi proyecto."
"3";"You utilize the markers from the box. [pl]";"Utilizan los marcadores de la caja."
"4";"We are going to leave the windows open.";"Vamos a abandonar las ventanas abiertas."
"5";"They open the supply cabinet.";"Abren el gabinete de materiales."
"6";"You end your sketch with a bold line. [sing, inf]";"Acabas tu boceto con una línea fuerte."
"7";"I bring over the paints to the center.";"Acerco las pinturas al centro."
"8";"We accompany the kids during the activity.";"Acompañamos a los niños durante la actividad."
"9";"They act with confidence in the small play.";"Actúan con confianza en la pequeña obra."
"10";"You are going to go to the front to explain. [sing, formal]";"Va a acudir al frente para explicar."
"11";"We reach the halfway point of the workshop.";"Alcanzamos la mitad del taller."
"12";"They analyze the shapes on the page.";"Analizan las formas en la hoja."
"13";"I announce the next step.";"Anuncio el siguiente paso."
"14";"You apply the glue carefully. [pl]";"Aplican el pegamento con cuidado."
"15";"We provide extra brushes if needed.";"Aportamos pinceles extra si se necesitan."
"16";"They support the younger kids.";"Apoyan a los niños más pequeños."
"17";"You are going to take advantage of the last minutes. [sing, inf]";"Vas a aprovechar los últimos minutos."
"18";"I point out the corner that needs color.";"Apunto la esquina que necesita color."
"19";"We secure the poster with tape.";"Aseguramos el cartel con cinta."
"20";"They attend every workshop session.";"Asisten a cada sesión del taller."
"21";"You link your idea to the theme. [sing, formal]";"Asocia su idea con el tema."
"22";"We assume the project will be ready on time.";"Asumimos que el proyecto estará listo a tiempo."
"23";"They add a final detail to the drawing.";"Añaden un detalle final al dibujo."
"24";"You sing softly while working. [pl]";"Cantan bajito mientras trabajan."
"25";"I am going to share the finished piece later.";"Voy a compartir la pieza terminada más tarde."
"26";"We declare the cleanup time started.";"Declaramos iniciado el tiempo de limpieza."
"27";"They highlight the best parts of the day.";"Destacan las mejores partes del día."
"28";"You insist on fixing one more detail. [sing, inf]";"Insistes en arreglar un detalle más."
