"id","word","answer"
"1","[A ella] She likes cold juice.","A ella le gusta el jugo frío."
"2","[A ella] She likes spicy food.","A ella le gusta la comida picante."
"3","[A ella] She likes peaches.","A ella le gustan los duraznos."
"4","[A ella] She likes scrambled eggs.","A ella le gustan los huevos revueltos."
"5","[A ella] She does not like strawberries.","A ella no le gustan las fresas."
"6","[A ellos] They like iced tea. [pl, formal]","A ellos les gusta el té helado."
"7","[A ellos] They like pineapple. [pl, formal]","A ellos les gusta la piña."
"8","[A ellos] They like corn tortillas. [pl, formal]","A ellos les gustan las tortillas de maíz."
"9","[A ellos] They like carrots. [pl, formal]","A ellos les gustan las zanahorias."
"10","[A mí] I like hot chocolate.","A mí me gusta el chocolate caliente."
"11","[A mí] I like hot oatmeal.","A mí me gusta la avena caliente."
"12","[A ti] You like hot tea, correct?","A ti te gusta el té caliente, ¿correcto?"
"13","[A ustedes] They like rice. [pl, formal]","A ustedes les gusta el arroz."
"14","[A él] He likes hot coffee with sugar and milk.","A él le gusta el café caliente con azúcar y leche."
"15","[A él] He likes chocolate cake.","A él le gusta el pastel de chocolate."
"16","[A él] He likes vegetarian food.","A él le gusta la comida vegetariana."
"17","[A él] He likes pears.","A él le gustan las peras."
"18","[A él] He likes tacos with cheese and vegetables.","A él le gustan los tacos con queso y verduras."
"19","[A él] He likes mangos very much.","A él le gustan mucho los mangos."
"20","She wants a pear.","Ella quiere una pera."
"21","I like whole‑wheat bread.","Me gusta el pan integral."
"22","I like a cucumber.","Me gusta el pepino."
"23","I like yogurt and fruit for breakfast.","Me gusta el yogur y la fruta para el desayuno."
"24","I like roasted peppers.","Me gustan los pimientos asados."
"25","I would like cold sparkling water.","Me gustaría el agua con gas fría."
"26","I would like sautéed mushrooms.","Me gustaría los champiñones salteados."
"27","I would like butter, please.","Me gustaría mantequilla, por favor."
"28","I would like a dessert.","Me gustaría un postre."
"29","I would like a very cold, dark beer.","Me gustaría una cerveza oscura muy fría."
"30","I would like a salad.","Me gustaría una ensalada."
"31","I would like a tortilla.","Me gustaría una tortilla."
"32","I do not like garlic or onions.","No me gusta el ajo ni la cebolla."
"33","I want cold broccoli.","Quiero el brócoli frío."
"34","I want hot tea.","Quiero el té caliente."
"35","I want a banana.","Quiero un plátano."
"36","I want a cookie.","Quiero una galleta."
"37","I want a baked potato.","Quiero una papa al horno."
"38","Does she like strawberries?","¿A ella le gustan las fresas?"
"39","[A ella] Would she like cold coffee?","¿A ella le gustaría el café frío?"
"40","[A ella] Would she like milk or sugar in her coffee?","¿A ella le gustaría leche o azúcar en su café?"
"41","[A ella] Would she like jam?","¿A ella le gustaría mermelada?"
"42","[A ella] Would she like a lime?","¿A ella le gustaría un limón?"
"43","[A ella] Would she like a strawberry?","¿A ella le gustaría una fresa?"
"44","[A ellos] Would they like pizza? [pl, formal]","¿A ellos les gustaría pizza?"
"45","[A ellos] Would they like ice tea? [pl, formal]","¿A ellos les gustaría té helado?"
"46","[A ellos] Would they like mango? [pl, formal]","¿A ellos les gustaría un mango?"
"47","[A ellos] Would they like grapes? [pl, formal]","¿A ellos les gustaría uvas?"
"48","[A Miguel] Would Miguel like a tomato?","¿A Miguel le gustaría un tomate?"
"49","Does he like tomatoes?","¿A él le gustan los tomates?"
"50","[A él] Would he like ice cream?","¿A él le gustaría helado?"
"51","[A él] Would he like hot soup?","¿A él le gustaría la sopa caliente?"
"52","[A él] Would he like some rice?","¿A él le gustaría un poco de arroz?"
"53","[A él] Would he like an orange?","¿A él le gustaría una naranja?"
"54","[A él] Would he like a pineapple?","¿A él le gustaría una piña?"
"55","Does he like hot coffee?","¿Le gusta el café caliente?"
"56","Do you like cilantro? [sing, formal]","¿Le gusta el cilantro?"
"57","Does she like cold juice?","¿Le gusta el jugo frío?"
"58","Does he like kiwi?","¿Le gusta el kiwi?"
"59","Do you like mango? [sing, formal]","¿Le gusta el mango?"
"60","Do you like tofu? [sing, formal]","¿Le gusta el tofu?"
"61","Do you like cold beer? [sing, formal]","¿Le gusta la cerveza fría?"
"62","Does she like spinach?","¿Le gusta la espinaca?"
"63","Does she like soy milk?","¿Le gusta la leche de soya?"
"64","Do you like hot soup? [sing, formal]","¿Le gusta la sopa caliente?"
"65","Does he like a mango?","¿Le gusta un mango?"
"66","Do you like a papaya? [sing, formal]","¿Le gusta una papaya?"
"67","Does he like a pear?","¿Le gusta una pera?"
"68","Do you like pears? [sing, formal]","¿Le gustan las peras?"
"69","Does she like peanuts?","¿Le gustan los cacahuates?"
"70","Would you like hot tea? [sing, formal]","¿Le gustaría el té caliente?"
"71","Would you like a peach? [sing, formal]","¿Le gustaría un durazno?"
"72","Would you like some bread? [sing, formal]","¿Le gustaría un poco de pan?"
"73","Would you like an apple? [sing, formal]","¿Le gustaría una manzana?"
"74","Would you like a papaya? [sing, formal]","¿Le gustaría una papaya?"
"75","Do they like hot tea? [pl, formal]","¿Les gusta el té caliente?"
"76","Do they like cold yogurt? [pl, formal]","¿Les gusta el yogur frío?"
"77","Do they like pineapple? [pl, formal]","¿Les gusta la piña?"
"78","Do they like grapes? [pl, formal]","¿Les gustan las uvas?"
"79","Do they like carrots? [pl, formal]","¿Les gustan las zanahorias?"
"80","Do they like bananas?","¿Les gustan los plátanos?"
"81","Can you bring me very hot black tea with hot milk? [sing, formal]","¿Me puede traer té negro muy caliente con leche caliente?"
"82","Can you bring me a poblano pepper? [sing, formal]","¿Me puede traer un chile poblano?"
"83","Can you bring me a lime? [sing, formal]","¿Me puede traer un limón?"
"84","Can you bring me a dark beer? [sing, formal]","¿Me puede traer una cerveza oscura?"
"85","Can you bring me a napkin? [sing, formal]","¿Me puede traer una servilleta?"
"86","Can you bring me strawberries? [sing, informal]","¿Me puedes traer fresas?"
"87","Can you bring me some very hot milk, please? [sing, informal]","¿Me puedes traer leche muy caliente, por favor?"
"88","Can you bring me an avocado? [sing, informal]","¿Me puedes traer un aguacate?"
"89","Can you bring me a cold coffee? [sing, informal]","¿Me puedes traer un café frío?"
"90","Can you bring me a bottled water? [sing, informal]","¿Me puedes traer una botella de agua?"
"91","Do you want sautéed spinach? [sing, informal]","¿Quieres la espinaca salteada?"
"92","Do you want cold milk? [sing, informal]","¿Quieres la leche fría?"
"93","Do you want a peach? [sing, informal]","¿Quieres un durazno?"
"94","Do you want a kiwi? [sing, informal]","¿Quieres un kiwi?"
"95","Do you want a cookie? [sing, informal]","¿Quieres una galleta?"
"96","Do you want an apple? [sing, informal]","¿Quieres una manzana?"
"97","Do you want a papaya? [sing, informal]","¿Quieres una papaya?"
"98","What type of fruit do you have? [sing, informal]","¿Qué fruta tienes?"
"99","What type of juice do you have? [sing, formal]","¿Qué jugo tiene?"
"100","What type of bread do you have? [sing, formal]","¿Qué pan tiene?"
"101","What type of cheese do you have? [sing, informal]","¿Qué queso tienes?"
"102","What type of salsa do you have? [sing, informal]","¿Qué salsa tienes?"
"103","What type of soup do you have? [sing, formal]","¿Qué sopa tiene?"
"104","What type of tortillas do you have? [sing, formal]","¿Qué tortillas tiene?"
"105","What type of tea do you have? [sing, formal]","¿Qué té tiene?"
"106","What type of vegetables do you have? [sing, informal]","¿Qué verduras tienes?"
"107","What type of wine do you have? [sing, informal]","¿Qué vino tienes?"
"108","Do you like cold milk? [sing, informal]","¿Te gusta la leche fría?"
