"Title: Afternoon At School";"Tarde En La Escuela"
"I speak with my teacher before class."; "Hablo con mi maestra antes de la clase."
"You take your notebook from your bag. [sing, inf]"; "Tomas tu cuaderno de tu mochila."
"We work quietly on a small project."; "Trabajamos en silencio en un proyectito."
"They eat snacks during the short break."; "Ellos comen botanas durante el recreo."
"I live close to the school building."; "Vivo cerca del edificio escolar."
"She takes her books to the library."; "Ella lleva sus libros a la biblioteca."
"He arrives early to study in peace."; "Él llega temprano para estudiar en paz."
"You call your friend to ask a question. [sing, inf]"; "Llamas a tu amigo para hacer una pregunta."
"We listen to the teacher explain the topic."; "Escuchamos a la maestra explicar el tema."
"They see the homework on the board."; "Miran la tarea en el pizarrón."
"I buy a small snack from the cafeteria."; "Compro una botana en la cafetería."
"You search for a pencil in your desk. [sing, inf]"; "Buscas un lápiz en tu escritorio."
"We need more time to finish the project."; "Necesitamos más tiempo para terminar el proyecto."
"He asks the teacher for help."; "Él pregunta a la maestra por ayuda."
"They wait outside the classroom door."; "Ellos esperan afuera de la puerta del salón."
"She changes her seat to see better."; "Ella cambia de asiento para ver mejor."
"We walk together to the computer room."; "Caminamos juntos al salón de cómputo."
"I pass by the art room on the way."; "Paso por el salón de arte en el camino."
"You enter the library to read quietly. [sing, inf]"; "Entras a la biblioteca para leer en silencio."
"I must study for the test tomorrow."; "Debo estudiar para el examen de mañana."
"They believe the test will be easy."; "Ellos creen que el examen será fácil."
"We learn new words in Spanish class."; "Aprendemos palabras nuevas en la clase de español."
"She writes notes in her small notebook."; "Ella escribe notas en su cuadernito."
"You travel by bus to get to school. [sing, inf]"; "Viajas en camión para llegar a la escuela."
"We help a classmate carry her books."; "Ayudamos a una compañera a cargar sus libros."
"I am going to review my notes tonight."; "Voy a repasar mis notas esta noche."
"They are going to study together later."; "Ellos van a estudiar juntos más tarde."
"We are going to finish the project tomorrow."; "Vamos a terminar el proyecto mañana."
