"I help";"(yo) ayudo"
"he helps";"(él) ayuda"
"you look for [sing, inf]";"(tú) buscas"
"we look for";"(nosotros) buscamos"
"she changes";"(ella) cambia"
"you change [pl]";"(ustedes) cambian"
"I walk";"(yo) camino"
"you walk [sing, formal]";"(usted) camina"
"we cook";"(nosotros) cocinamos"
"he cooks";"(él) cocina"
"you buy [sing, inf]";"(tú) compras"
"they (ustedes) buy [pl]";"(ustedes) compran"
"I enter";"(yo) entro"
"she enters";"(ella) entra"
"you wait [sing, formal]";"(usted) espera"
"we wait";"(nosotros) esperamos"
"he speaks";"(él) habla"
"you speak [pl]";"(ustedes) hablan"
"I clean";"(yo) limpio"
"you clean [sing, inf]";"(tú) limpias"
"she calls";"(ella) llama"
"we call";"(nosotros) llamamos"
"I carry";"(yo) llevo"
"you carry [pl]";"(ustedes) llevan"
"he watches";"(él) mira"
"you watch [sing, formal]";"(usted) mira"
"I need";"(yo) necesito"
"we need";"(nosotros) necesitamos"
"you pay [sing, inf]";"(tú) pagas"
"she pays";"(ella) paga"
"I ask";"(yo) pregunto"
"you ask [pl]";"(ustedes) preguntan"
"he prepares";"(él) prepara"
"we prepare";"(nosotros) preparan"
"I return";"(yo) regreso"
"you return [sing, formal]";"(usted) regresa"
"she plays (instrument)";"(ella) toca"
"we play (instrument)";"(nosotros) tocamos"
"I take";"(yo) tomo"
"you take [pl]";"(ustedes) toman"
"he works";"(él) trabaja"
"you work [sing, inf]";"(tú) trabajas"
"we use";"(nosotros) usamos"
"she uses";"(ella) usa"
"I visit";"(yo) visito"
"you visit [sing, formal]";"(usted) visita"
"he studies";"(él) estudia"
"we study";"(nosotros) estudiamos"
"I travel";"(yo) viajo"
"you travel [pl]";"(ustedes) viajan"
"she dances";"(ella) baila"
"you dance [sing, inf]";"(tú) bailas"
"I send";"(yo) mando"
"we send";"(nosotros) mandamos"
"he answers";"(él) contesta"
"you answer [pl]";"(ustedes) contestan"
"I finish";"(yo) termino"
"you finish [sing, formal]";"(usted) termina"
"she begins";"(ella) empieza"
"we begin";"(nosotros) empezamos"
"you listen [sing, inf]";"(tú) escuchas"
"they (ustedes) listen [pl]";"(ustedes) escuchan"
"I practice";"(yo) practico"
"he practices";"(él) practica"
"you explain [sing, formal]";"(usted) explica"
"we explain";"(nosotros) explicamos"
"I show";"(yo) muestro"
"you show [pl]";"(ustedes) muestran"
"she tries";"(ella) intenta"
"we try";"(nosotros) intentamos"
"I invite";"(yo) invito"
"you invite [sing, inf]";"(tú) invitas"
"he washes";"(él) lava"
"you wash [pl]";"(ustedes) lavan"
"I send (ship)";"(yo) envío"
"she sends (ships)";"(ella) envía"
"you forget [sing, formal]";"(usted) olvida"
"we forget";"(nosotros) olvidamos"
"I remember";"(yo) recuerdo"
"you remember [pl]";"(ustedes) recuerdan"
"he stays";"(él) queda"
"you stay [sing, inf]";"(tú) quedas"
"I access";"(yo) accedo"
"we access";"(nosotros) accedemos"
"she saves (money)";"(ella) ahorra"
"you save (money) [pl]";"(ustedes) ahorran"
"I rent";"(yo) alquilo"
"you rent [sing, formal]";"(usted) alquila"
"he cancels";"(él) cancela"
"we cancel";"(nosotros) cancelamos"
"I rest";"(yo) descanso"
"you rest [sing, inf]";"(tú) descansas"
"she draws";"(ella) dibuja"
"you draw [pl]";"(ustedes) dibujan"
"I win";"(yo) gano"
"we win";"(nosotros) ganamos"
"he arrives";"(él) llega"
"you arrive [sing, formal]";"(usted) llega"
"I revisit";"(yo) revisito"
"you revisit [pl]";"(ustedes) revisitan"
