"Title: A Slow Afternoon at Home";"Una Tarde Tranquila en Casa"
"I answer a short message from my friend.";"Contesto un mensajito de mi amigo."
"We rest on the couch after a long morning.";"Descansamos en el sillón después de una mañana larga."
"My sister draws small flowers in her notebook.";"Mi hermana dibuja flores pequeñas en su cuaderno."
"Lunch begins when everyone arrives.";"La comida empieza cuando todos llegan."
"Neighbors enter the house to say hello.";"Los vecinos entran a la casa para saludar."
"I send a picture of the meal to my family.";"Mando una foto de la comida a mi familia."
"We listen to soft music while we eat.";"Escuchamos música suave mientras comemos."
"She waits for a call from her cousin.";"Ella espera una llamada de su prima."
"They study quietly at the table.";"Ellos estudian en silencio en la mesa."
"My dad explains a joke, and everyone laughs.";"Mi papá explica un chiste y todos se ríen."
