"Title: The School Project";"El Proyecto Escolar"
"We write the first part of the project together.";"Escribimos la primera parte del proyecto juntos."
"I print the instructions for everyone.";"Imprimo las instrucciones para todos."
"You insist on using simple examples.";"Insistes en usar ejemplos simples."
"They omit the long introduction.";"Ellos omiten la introducción larga."
"She departs early to buy materials.";"Ella parte temprano para comprar materiales."
"The teacher allows us to work in groups.";"La maestra nos permite trabajar en grupos."
"He receives the list of tasks.";"Él recibe la lista de tareas."
"We go up to the second floor to find a table.";"Subimos al segundo piso para encontrar una mesa."
"Two teams join to finish faster.";"Dos equipos se unen para terminar más rápido."
"Tomorrow we are going to live a very busy day.";"Mañana vamos a vivir un día muy ocupado."
