"id";"word";"answer"
"1";"Title: Evening At The Gym";"Noche En El Gimnasio"
"2";"I give my friend a bottle of water.";" ""Doy a mi amigo una botella de agua."""
"3";"You let the trainer know you arrived. [sing, formal]";" ""Deja saber al entrenador que llegó."""
"4";"We drink water between sets.";" ""Bebemos agua entre series."""
"5";"They finish their warm‑up quickly.";" ""Acaban su calentamiento rápido."""
"6";"I am going to pay the monthly fee tomorrow.";" ""Voy a pagar la mensualidad mañana."""
"7";"You spend energy fast during cardio. [sing, inf]";" ""Gastas energía rápido durante el cardio."""
"8";"We take out the mats for stretching.";" ""Sacamos los tapetes para estirar."""
"9";"They remove their jackets before starting.";" ""Quitan sus chamarras antes de empezar."""
"10";"You drive to the gym every evening. [pl]";" ""Manejan al gimnasio cada noche."""
"11";"We open the windows for fresh air.";" ""Abrimos las ventanas para que entre aire."""
"12";"They love the music playing today.";" ""Aman la música que suena hoy."""
"13";"You wash your hands before lifting. [sing, formal]";" ""Lava sus manos antes de levantar."""
"14";"We cook a light dinner after training.";" ""Cocinamos una cena ligera después de entrenar."""
"15";"They clean the equipment after use.";" ""Limpian el equipo después de usarlo."""
"16";"I dry my face with a small towel.";" ""Seco mi cara con una toallita."""
"17";"You are going to bathe when you get home. [pl]";" ""Van a bañarse cuando lleguen a casa."""
"18";"We matter to each other as a team.";" ""Nos importamos como equipo."""
"19";"They interest the coach with their progress.";" ""Interesan al entrenador con su progreso."""
"20";"You bother no one; you stay focused. [sing, inf]";" ""No molestas a nadie";" te mantienes enfocado."""
"21";"I win a small challenge today.";" ""Gano un pequeño reto hoy."""
"22";"We go up the stairs to the track.";" ""Subimos las escaleras hacia la pista."""
"23";"They come down after a quick run.";" ""Bajan después de una carrera rápida."""
"24";"You dance a little to warm up. [sing, formal]";" ""Baila un poco para calentar."""
"25";"We are going to tie the ropes for training.";" ""Vamos a atar las cuerdas para entrenar."""
"26";"They tell their coach they feel great.";" ""Cuentan a su entrenador que se sienten muy bien."""
