"id","word","answer"
"1","I'm starving.","¡Me muero de hambre!"
"2","Enjoy the meal.","¡Buen provecho!"
"3","Can you recommend a restaurant?","¿Me puede recomendar un restaurante?"
"4","I'd like to reserve a table for two people.","Quisiera reservar un mesa para dos."
"5","I'd like to reserve a table for eight o'clock.","Quisiera reservar una mesa para las ocho."
"6","Are you still serving food?","¿Siguen sirviendo comida?"
"7","How long is the wait?","¿Cuánto hay que esperar?"
"8","I'd like a table for two please.","Quisiera una mesa para dos, por favor."
"9","We're just having drinks.","Solo queremos tomar algo."
"10","Just drinks.","Solo bebidas."
"11","I'd like the menu please.","Quisiera la carta, por favor."
"12","Can you bring me the menu, please?","¿Me trae la carta, por favor?"
"13","Do you have a menu in English?","¿Tienen una carta en inglés?"
"14","We don't have any tables.","No tenemos mesas."
"15","We're full. [restaurant]","Estamos llenos."
"16","We're closed.","Ya cerramos."
"17","Where would you like to sit?","¿Dónde le gustaría sentarse?"
"18","Please bring us a napkin.","Por favor, nos trae una servilleta."
"19","Would you like something to drink?","¿Quiere tomar algo?"
"20","What can I get for you?","¿Qué desea ordenar?"
"21","Can I see the menu please?","¿Puedo ver la carta, por favor?"
"22","I'd like the bill please.","Quisiera la cuenta, por favor."
"23","Is there any chili sauce?","¿Hay salsa picante?"
"24","I don't want it fried.","No lo quiero frito."
"25","I'd like it without chili.","Lo quiero sin chile."
"26","I'd like it on the side.","Lo quiero aparte."
"27","I'm full.","Estoy satisfecho."
"28","This is burnt.","Esto está quemado."
"29","This is cold.","Esto está frío."
"30","This is too spicy.","Esto está muy picante."
"31","The bill please.","La cuenta, por favor."
"32","Would you like to add a tip?","¿Desea agregar propina?"
"33","There's a mistake in the bill.","Hay un error en la cuenta."
"34","I would like a bottle/glass of wine.","Quisiera una botella/copa de vino."
"35","Excuse me! [ordering at a bar]","¡Oiga!"
"36","What would you like?","¿Qué quieres tomar?"
"37","I'd like a beer please.","Quisiera una cerveza, por favor."
"38","No ice, please.","Sin hielo, por favor."
"39","Do you serve food here?","¿Sirven comidas aqui?"
"40","How much is a kilo of cheese?","¿Cuánto vale un kilo de queso?"
"41","Can I taste it?","¿Puedo probarlo?"
"42","I'd like three pieces.","Quisiera tres piezas."
"43","I'd like a slice.","Quisiera una rebanada."
"44","I'd like that one.","Quisiera ése/ésa."
"45","I'd like this one.","Quisiera este/esta."
"46","I'd like a bit more/less.","Quisiera un poco más/menos."
"47","That's enough thanks.","Así está bien, gracias."
"48","Do you have anything cheaper?","¿Tiene algo más barato?"
"49","Anything else?","¿Algo más?"
"50","There's none left.","Se me terminó."
"51","Where can I find the dairy section?","¿Dónde está la sección de lácteos."
"52","Where can I find the fruit and vegetable section?","¿Dónde está la sección de frutas y verduras?"
"53","Do you have vegetarian food?","¿Tienen comida vegetariana?"
"54","Is there a vegetarian restaurant near here?","¿Hay un restaurante vegetariano por aquí?"
"55","I'm on a special diet.","Estoy a dieta especial."
"56","I don't eat meat.","No como carne."
"57","Dairy and eggs are ok.","Los lácteos y los huevos están bien."
"58","Could you make me/us a dish without meat, fish, pork or chicken?","¿Podría prepararme/nos un plato sin carne, pescado, cerdo ni pollo?"
"59","I love this dish.","Me encanta este platillo."
"60","That was delicious!","¡Estaba delicioso!"
"61","What is this?","¿Qué es esto?"
