"id","word","answer"
"1","Do you accept credit cards?","¿Acepta tarjeta de crédito?"
"2","Sparkling or still?","¿Agua mineral o natural?"
"3","Which salsa is milder?","¿Cuál salsa es más suave?"
"4","How much does ___ cost?","¿Cuánto cuesta ___?"
"5","How much is everything together?","¿Cuánto es todo junto?"
"6","Is the rice cooked with chicken broth?","¿El arroz está hecho con caldo de pollo?"
"7","Is it sweet?","¿Es dulce?"
"8","Is it sweet?","¿Es dulce?"
"9","Is it vegetarian?","¿Es vegetariano?"
"10","Is it vegetarian?","¿Es vegetariano?"
"11","Is the salsa spicy?","¿La salsa pica?"
"12","Is the red/green salsa spicy?","¿La salsa roja/verde pica?"
"13","Are the corn tortillas yellow or blue?","¿Las tortillas de maíz son amarillas o azules?"
"14","Are the tortillas corn or flour?","¿Las tortillas son de maíz o de harina?"
"15","Can you make it with ___ instead of ___? [formal]","¿Lo puede hacer con ___ en vez de ___?"
"16","Can you make it with/without ___ and ___? [formal]","¿Lo puede hacer con/sin ___ y ___?"
"17","Can you make it with/without ___? [formal]","¿Lo puede hacer con/sin ___?"
"18","Can you make it without ___? [formal]","¿Lo puede hacer sin ___?"
"19","Can you make it without sugar? [formal]","¿Lo puede hacer sin azúcar?"
"20","Can you make it not spicy? [formal]","¿Lo puede hacer sin picante?"
"21","Can you make it not spicy? [formal]","¿Lo puede hacer sin picante?"
"22","Do the beans have lard?","¿Los frijoles tienen manteca?"
"23","Can you refill it, please? [formal]","¿Me lo puede rellenar, por favor?"
"24","Can you bring me ___, please? [formal]","¿Me puede traer ___, por favor?"
"25","Can I have very hot water?","¿Me puede traer agua muy caliente?"
"26","Can you bring me the menu?","¿Me puede traer el menú?"
"27","Can you bring me more ___? [formal]","¿Me puede traer más ___, por favor?"
"28","Can you bring me more napkins?","¿Me puede traer más servilletas?"
"29","Can you bring me more tortillas?","¿Me puede traer más tortillas?"
"30","Can I have a cup of very hot water, please?","¿Me puede traer una taza de agua muy caliente, por favor?"
"31","Is it sugar‑free?","¿No tiene azúcar? [¿Es sin azúcar?]"
"32","Can you bring us ___, please? [formal]","¿Nos puede traer ___, por favor?"
"33","Can you bring us more napkins, please?","¿Nos puede traer más servilletas, por favor?"
"34","Can you bring us more tortillas, please?","¿Nos puede traer más tortillas, por favor?"
"35","Is it spicy?","¿Pica? [¿Está picoso?]"
"36","Can you put ___ separately? [formal]","¿Puede poner ___ separado, por favor?"
"37","Could you repeat that, please?","¿Puede repetir, por favor?"
"38","Can I pay with credit card?","¿Puedo pagar con tarjeta de crédito?"
"39","What ingredients does it have?","¿Qué ingredientes tiene?"
"40","What do you recommend for vegetarians? [formal]","¿Qué me recomienda para vegetarianos?"
"41","“What do you have that is vegetarian?”","¿Qué tiene que sea vegetariano?"
"42","Do you have ___? [formal]","¿Tiene ___?"
"43","Does it have ___?","¿Tiene ___?"
"44","Do you have rice without chicken broth? [formal]","¿Tiene arroz sin caldo de pollo?"
"45","Do you have beans without lard? [formal]","¿Tiene frijoles sin manteca?"
"46","Do you have jamaica without sugar?","¿Tiene jamaica sin azúcar?"
"47","Do you have a vegetarian menu? [formal]","¿Tiene menú vegetariano?"
"48","Do you have omelettes?","¿Tiene omelets?"
"49","Do you have vegetarian options?","¿Tiene opción vegetariana?"
"50","Do you have red or green salsa?","¿Tiene salsa roja o verde?"
"51","Do you have flour tortillas? [formal]","¿Tiene tortillas de harina?"
"52","Do you have corn tortillas? [formal]","¿Tiene tortillas de maíz?"
"53","With ___ on the side, please.","Con ___ aparte, por favor."
"54","With avocado on top, please.","Con aguacate arriba, por favor."
"55","With the salsa on the side, please.","Con la salsa aparte, por favor."
"56","With corn tortillas, please.","Con tortillas de maíz, por favor."
"57","Excuse me.","Disculpe."
"58","The menu, please.","El menú, por favor."
"59","The bill, please.","La cuenta, por favor."
"60","very hot whole milk","leche entera muy caliente"
"61","Thank you very much.","Muchas gracias."
"62","A lot of ___, please.","Mucho ___, por favor."
"63","I need food with no sugar.","Necesito comida sin azúcar."
"64","I don’t eat meat, chicken, pork, or fish.","No como carne, pollo, cerdo ni pescado."
"65","For me, ___.","Para mí, ___."
"66","Have a good day.","Que tenga un buen día."
"67","I want ___ with ___ and ___, please.","Quiero ___ con ___ y ___, por favor."
"68","I want ___, please.","Quiero ___, por favor."
"69","Without ___, please.","Sin ___, por favor."
"70","Without sugar, please.","Sin azúcar, por favor."
"71","Just water, please.","Solo agua, por favor."
"72","I am diabetic.","Soy diabético."
"73","I am vegetarian.","Soy vegetariano."
"74","Everything is fine, thank you.","Todo está bien, gracias."
"75","Everything is very good.","Todo está muy rico."
"76","A little ___, please.","Un poco de ___, por favor."
"77","A table for two, please.","Una mesa para dos personas, por favor."
"78","A table for one, please.","Una mesa para uno, por favor."
