"id";"word";"answer"
"1";"Title: Afternoon At School";"Tarde En La Escuela"
"2";"I speak with my teacher before class.";"Hablo con mi maestra antes de la clase."
"3";"You take your notebook from your bag. [sing, inf]";"Tomas tu cuaderno de tu mochila."
"4";"We work quietly on a small project.";"Trabajamos en silencio en un proyectito."
"5";"They eat snacks during the short break.";"Ellos comen botanas durante el recreo."
"6";"I live close to the school building.";"Vivo cerca del edificio escolar."
"7";"She takes her books to the library.";"Ella lleva sus libros a la biblioteca."
"8";"He arrives early to study in peace.";"Él llega temprano para estudiar en paz."
"9";"You call your friend to ask a question. [sing, inf]";"Llamas a tu amigo para hacer una pregunta."
"10";"We listen to the teacher explain the topic.";"Escuchamos a la maestra explicar el tema."
"11";"They see the homework on the board.";"Miran la tarea en el pizarrón."
"12";"I buy a small snack from the cafeteria.";"Compro una botana en la cafetería."
"13";"You search for a pencil in your desk. [sing, inf]";"Buscas un lápiz en tu escritorio."
"14";"We need more time to finish the project.";"Necesitamos más tiempo para terminar el proyecto."
"15";"He asks the teacher for help.";"Él pregunta a la maestra por ayuda."
"16";"They wait outside the classroom door.";"Ellos esperan afuera de la puerta del salón."
"17";"She changes her seat to see better.";"Ella cambia de asiento para ver mejor."
"18";"We walk together to the computer room.";"Caminamos juntos al salón de cómputo."
"19";"I pass by the art room on the way.";"Paso por el salón de arte en el camino."
"20";"You enter the library to read quietly. [sing, inf]";"Entras a la biblioteca para leer en silencio."
"21";"I must study for the test tomorrow.";"Debo estudiar para el examen de mañana."
"22";"They believe the test will be easy.";"Ellos creen que el examen será fácil."
"23";"We learn new words in Spanish class.";"Aprendemos palabras nuevas en la clase de español."
"24";"She writes notes in her small notebook.";"Ella escribe notas en su cuadernito."
"25";"You travel by bus to get to school. [sing, inf]";"Viajas en camión para llegar a la escuela."
"26";"We help a classmate carry her books.";"Ayudamos a una compañera a cargar sus libros."
"27";"I am going to review my notes tonight.";"Voy a repasar mis notas esta noche."
"28";"They are going to study together later.";"Ellos van a estudiar juntos más tarde."
"29";"We are going to finish the project tomorrow.";"Vamos a terminar el proyecto mañana."
