"id","word","answer"
"1","I love this country.","Amo este país."
"2","Clara and Inés are my sisters.","Clara e Inés son mis hermanas."
"3","The dog is sleeping.","El perro está durmiendo."
"4","Ella is my wife.","Ella es mi esposa."
"5","In my whole life I haven’t seen such a view.","En toda mi vida no vi un paisaje así."
"6","That is my backpack.","Esa es mi mochila."
"7","That dish is very good.","Ese plato está muy rico."
"8","This city is interesting and pretty.","Esta ciudad es interesante y linda."
"9","This is my bed.","Esta es mi cama."
"10","This is my car.","Este es mi coche."
"11","I am so tired that I will take a nap.","Estoy tan cansado que dormiré una siesta."
"12","There is a sandwich for each one of us.","Hay un sándwich para cada uno de nosotros."
"13","Juana is very tall.","Juana es muy alta."
"14","The bed is big.","La cama es grande."
"15","The store is between the casino and the hotel.","La tienda está entre el casino y el hotel."
"16","The flowers are blue.","Las flores son azules."
"17","The taxis are yellow.","Los taxis son amarillos."
"18","María is at the park.","María está en el parque."
"19","My family lives in the US.","Mi familia vive en Estados Unidos."
"20","Pedro is my cousin.","Pedro es mi primo."
"21","I want another drink.","Quiero otro trago."
"22","I want to travel around the world.","Quiero viajar por todo el mundo."
"23","I will always remember you.","Siempre te recordaré."
"24","Yes, I want to go.","Sí, quiero ir."
"25","It’s a big city.","¡Es una gran ciudad!"
"26","That’s not true.","¡Eso no es cierto!"
"27","That’s not true.","¡Eso no es cierto!"
"28","Please, make less noise!","¡Hagan menos ruido, por favor!"
"29","Everything is ready.","¡Ya está todo listo!"
"30","What day is it today?","¿Qué día es hoy?"
"31","Do you have other plans?","¿Tienes otros planes?"
"32","Do you have to leave now?","¿Tienes que irte ahora?"
