"id";"word";"answer"
"1";"Title: Morning Chores At The Small House";"Quehaceres De Mañana En La Casita"
"2";"I start the day feeling a little weak.";"Empiezo el día sintiéndome un poco débil."
"3";"The warm sunlight enters through the curtains.";"La luz cálida entra por las cortinas."
"4";"A cold breeze follows from the hallway.";"Una brisa fría sigue desde el pasillo."
"5";"The fresh air helps me wake fully.";"El aire fresco me ayuda a despertar bien."
"6";"I am going to open the kitchen window.";"Voy a abrir la ventana de la cocina."
"7";"The open room smells like early coffee.";"El cuarto abierto huele a café temprano."
"8";"The closed drawer sticks a little today.";"El cajón cerrado se atora un poco hoy."
"9";"The full sink waits for morning dishes.";"El fregadero lleno espera los trastes de la mañana."
"10";"The empty counter gives me space now.";"La barra vacía me da espacio ahora."
"11";"I clean everything until it looks spotless.";"Limpio todo hasta que se vea limpio."
"12";"The dirty towels go straight to laundry.";"Las toallas sucias van directo a la lavandería."
"13";"We are going to prepare a simple breakfast.";"Vamos a preparar un desayuno sencillo."
"14";"The ready pan heats slowly on low flame.";"El sartén listo se calienta lentamente a fuego bajo."
"15";"The finished toast cools beside the stove.";"El pan tostado terminado se enfría junto a la estufa."
"16";"A broken mug sits alone on the shelf.";"Una taza rota está sola en el estante."
"17";"A lost spoon appears under the table.";"Una cuchara perdida aparece debajo de la mesa."
"18";"They are going to fix the stuck cabinet.";"Van a arreglar el gabinete atorado."
"19";"The lively plants brighten the quiet corner.";"Las plantas vivas alegran la esquina tranquila."
"20";"The dead battery stays useless in storage.";"La batería muerta queda inútil en la bodega."
"21";"I am going to keep everyone fully awake.";"Voy a mantener a todos bien despiertos."
