"id","word","answer"
"1","He, she, you drink [beber, sing; you=formal 'usted']","bebe  "
"2","We drink [beber]","bebemos  "
"3","They drink [beber]","beben"
"4","You drink [beber, sing, inf]","bebes  "
"5","I drink [beber]","bebo  "
"6","He, she, you speak [hablar, sing; you=formal 'usted']","habla  "
"7","We speak [hablar]","hablamos  "
"8","They speak [hablar]","hablan"
"9","You speak [hablar, sing, inf]","hablas  "
"10","I speak [hablar]","hablo  "
"11","He, she, you live [vivir, sing; you=formal 'usted']","vive  "
"12","They live [vivir]","viven"
"13","You live [vivir, sing, inf]","vives  "
"14","We live [vivir]","vivimos  "
"15","I live [vivir]","vivo  "
