"id";"word";"answer"
"1";"to";"a"
"2";"as of";"a partir de"
"3";"in spite of";"a pesar de"
"4";"through";"a través de"
"5";"about";"acerca de"
"6";"in addition to";"además de"
"7";"before";"ante"
"8";"under";"bajo"
"9";"with";"con"
"10";"against";"contra"
"11";"from";"de"
"12";"according to";"de acuerdo a"
"13";"in accordance with";"de acuerdo con"
"14";"due to";"debido a"
"15";"from";"desde"
"16";"during";"durante"
"17";"at";"en"
"18";"in regard to";"en cuanto a"
"19";"instead of";"en lugar de"
"20";"around";"en torno a"
"21";"between";"entre"
"22";"in front of";"frente a"
"23";"thanks to";"gracias a"
"24";"to";"hacia"
"25";"to";"hasta"
"26";"together with";"junto a"
"27";"together with";"junto con"
"28";"through";"mediante"
"29";"for";"para"
"30";"despite";"pese a"
"31";"by";"por"
"32";"with respect to";"respecto a"
"33";"according to";"según"
"34";"without";"sin"
"35";"about";"sobre"
"36";"after";"tras"
