Help!,¡Socorro!
Stop!,¡Pare!
Go away!,¡Váyase!
Thief!,¡Ladrón!
Fire!,¡Fuego!
Watch out.,¡Cuidado!
Call the police.,¡Llame a la policía!
Call a doctor.,¡Llame a un médico!
Call an ambulance!,¡Llame a una ambulancia!
It's an emergency.,Es una emergencia.
Could you help me please?,"¿Me puede ayudar, por favor?"
There's been an accident.,Ha habido un accidente.
I'm lost.,Estoy perdido.
Where are the toilets?,¿Dónde están los baños?
Is it safe at night?,¿Es seguro de noche?
Is it safe for foreigners?,¿Es seguro para los extranjeros?
Is it safe for gay people?,¿Es seguro para la gente gay?
Where's the police station?,¿Dónde está la estación de policía?
I've lost (my wallet).,Perdí (mi billetera).
My bag was stolen.,Mi bolso fue robado.
My money was stolen.,Mi dinero fue robado.
I need to contact my consulate.,Necesito ponerme en contacto con mi consulado.
I've been robbed.,Me han robado.
I have a prescription for this drug.,Tengo receta para esta medicina.
Where's the nearest (night) pharmacy?,¿Dónde está la farmacia (de guardia) más cercana?
Where's the nearest clinic?,¿Dónde está la clinica más cercana?
I need a doctor (who speaks English).,Necesito un doctor (que hable inglés).
I'm sick.,Estoy enfermo.
My friend is sick.,Mi amigo está enfermo.
It hurts here.,Me duele aquí.
I've been vomiting.,He estado vomitando.
I'm dehydrated.,Estoy deshidratado.
I'm all hot and cold.,Tengo escalofríos.
I feel dizzy.,Me siento mareado.
I feel nauseous.,Me siento con náuseas.
I have pre diabetes.,Tengo prediabetes.
I need something for (a fever).,Necesito algo para (la fiebre).
How many times a day?,¿Cuántas veces al día?
Will it make me sleepy?,¿Me dará sueño?
I need new glasses.,Necesito lentes nuevos.
