"Hello, good afternoon.";"Hola, buenas tardes."
"Good afternoon.";"Buenas tardes."
"I’m David.";"Soy David."
"Nice to meet you, David. I’m Miguel.";"Mucho gusto, David. Yo soy Miguel."
"Nice to meet you. I’m from Seattle, Washington.";"Mucho gusto. Soy de Seattle, Washington."
"Oh, nice. Are you visiting?";"Ah, qué bien. ¿Está de visita?"
"Yes, I’m in El Tuito for two weeks.";"Sí, estoy en El Tuito por dos semanas."
"Do you like the town?";"¿Le gusta el pueblo?"
"Yes, I like it a lot. I walk and relax every day.";"Sí, me gusta mucho. Camino y descanso todos los días."
"That’s good. It’s a quiet place.";"Qué bueno. Es un lugar tranquilo."
"Yes, very quiet.";"Sí, muy tranquilo."
"Well, enjoy your visit.";"Bueno, que disfrute su visita."
"Thank you. Have a good day.";"Gracias. Que tenga buen día."
"You too.";"Igualmente."
