id,word,answer
1,after (doing something) + inf,después de + inf
2,again,de nuevo
3,at my side,a mi lado
4,at times,a veces
5,better,mejor
6,completely,completamente
7,fortunately,afortunadamente
8,free (in cost),gratis
9,"he, she, you are able/can/may [sing, formal] {o > ue}",puede
10,"he, she, you ask for/request [sing, formal] {e > i}",pide
11,"he, she, you begin [sing, formal] {e > ie}",empieza
12,"he, she, you close [sing, formal] {e > ie}",cierra
13,"he, she, you come [sing, formal] {e > ie}",viene
14,"he, she, you do/make [sing, formal]",hace
15,"he, she, you find [sing, formal] {o > ue}",encuentra
16,"he, she, you follow/continue [sing, formal] {e > i}",sigue
17,"he, she, you have [sing, formal] {e > ie}",tiene
18,"he, she, you have/eat lunch [sing, formal] {o > ue}",almuerza
19,"he, she, you hear [sing, formal]",oye
20,"he, she, you know/know how [sing, formal]",sabe
21,"he, she, you leave/exit/go out [sing, formal]",sale
22,"he, she, you lie [sing, formal] {e > ie}",miente
23,"he, she, you lose [sing, formal] {e > ie}",pierde
24,"he, she, you play [sing, formal] {u > ue}",juega
25,"he, she, you prefer [sing, formal] {e > ie}",prefiere
26,"he, she, you put [sing, formal]",pone
27,"he, she, you remember [sing, formal] {o > ue}",recuerda
28,"he, she, you repeat [sing, formal] {e > i}",repite
29,"he, she, you return [sing, formal] {o > ue}",vuelve
30,"he, she, you return/give back [sing, formal] {o > ue}",devuelve
31,"he, she, you see [sing, formal]",ve
32,"he, she, you serve [sing, formal] {e > i}",sirve
33,"he, she, you sleep [sing, formal] {o > ue}",duerme
34,"he, she, you smile [sing, formal] {e > i}",sonríe
35,"he, she, you think [sing, formal] {e > ie}",piensa
36,"he, she, you understand [sing, formal] {e > ie}",entiende
37,"he, she, you want [sing, formal] {e > ie}",quiere
38,I am able/can/may {o > ue},puedo
39,I ask for/request {e > i},pido
40,I begin {e > ie},empiezo
41,I close {e > ie},cierro
42,I come {e > ie},vengo
43,I do/make [irreg yo],hago
44,I find {o > ue},encuentro
45,I follow/continue {e > i},sigo
46,"I have [tener, irreg yo]",tengo
47,I have/eat lunch {o > ue},almuerzo
48,I hear [irreg yo],oigo
49,I know/know how [irreg yo],sé
50,I leave/exit/go out [irreg yo],salgo
51,I lie {e > ie},miento
52,I lose {e > ie},pierdo
53,I play {u > ue},juego
54,I prefer {e > ie},prefiero
55,I put [irreg yo],pongo
56,I remember {o > ue},recuerdo
57,I repeat {e > i},repito
58,I return {o > ue},vuelvo
59,I return/give back {o > ue},devuelvo
60,I see [irreg yo],veo
61,I serve {e > i},sirvo
62,I sleep {o > ue},duermo
63,I smile {e > i},sonrío
64,I think {e > ie},pienso
65,I understand {e > ie},entiendo
66,I want {e > ie},quiero
67,luckily,menos mal
68,near me,cerca de mí
69,the basement,el sótano
70,the crowd,la muchedumbre
71,the exit,la salida
72,the rush hour,la hora pico
73,the theater,el teatro
74,they are able/can/may {o > ue},pueden
75,they ask for/request {e > i},piden
76,they begin {e > ie},empieza
77,they close {e > ie},cierran
78,they come {e > ie},vienen
79,they do/make,hacen
80,they find {o > ue},encuentran
81,they follow/continue {e > i},siguen
82,they have {e > ie},tienen
83,they have/eat lunch {o > ue},almuerzan
84,they hear,oyen
85,they know/know how,saben
86,they leave/exit/go out,salen
87,they lie {e > ie},mienten
88,they lose {e > ie},pierden
89,they play {u > ue},juegan
90,they prefer {e > ie},prefieren
91,they put,ponen
92,they remember {o > ue},recuerdan
93,they repeat {e > i},repiten
94,they return {o > ue},vuelven
95,they return/give back {o > ue},devuelven
96,they see,ven
97,they serve {e > i},sirven
98,they sleep {o > ue},duermen
99,they smile {e > i},sonríen
100,they think {e > ie},piensan
101,they understand {e > ie},entienden
102,they want {e > ie},quieren
103,to arrive on time,llegar a tiempo
104,to be impossible,ser imposible
105,to be safe,ser seguro
106,to be sure,estar seguro
107,to get on the train,subir al tren
108,to speak by/on the phone,hablar por teléfono
109,to take a seat,tomar asiento
110,to think about,pensar en
111,toward,hacia
112,we are able/can/may {o > ue},podemos
113,we ask for/request {e > i},pedimos
114,we begin {e > ie},empezamos
115,we close {e > ie},cerramos
116,we come {e > ie},venimos
117,we do/make,hacemos
118,we find {o > ue},encontramos
119,we follow/continue {e > i},seguimos
120,we have {e > ie},tenemos
121,we have/eat lunch {o > ue},almorzamos
122,we hear,oímos
123,we know/know how,sabemos
124,we leave/exit/go out,salimos
125,we lie {e > ie},mentimos
126,we lose {e > ie},perdemos
127,we play {u > ue},jugamos
128,we prefer {e > ie},preferimos
129,we put,ponemos
130,we remember {o > ue},recordamos
131,we repeat {e > i},repetimos
132,we return {o > ue},volvemos
133,we return/give back {o > ue},devolvemos
134,we see,vemos
135,we serve {e > i},servimos
136,we sleep {o > ue},dormimos
137,we smile {e > i},sonreímos
138,we think {e > ie},pensamos
139,we understand {e > ie},entendemos
140,we want {e > ie},queremos
141,you are able/can/may [pl] {o > ue},podéis
142,"you are able/can/may [sing, inf] {o > ue}",puedes
143,you ask for/request [pl] {e > i},pedís
144,"you ask for/request [sing, inf] {e > i}",pides
145,you begin [pl] {e > ie},empezáis
146,"you begin [sing, inf] {e > ie}",empiezas
147,you close [pl] {e > ie},cerráis
148,"you close [sing, inf] {e > ie}",cierras
149,you come [pl] {e > ie},venís
150,"you come [sing, inf] {e > ie}",vienes
151,you do/make [pl],hacéis
152,"you do/make [sing, inf]",haces
153,you find [pl] {o > ue},encontráis
154,"you find [sing, inf] {o > ue}",encuentras
155,you follow/continue [pl] {e > i},seguís
156,"you follow/continue [sing, inf] {e > i}",sigues
157,you have [pl] {e > ie},tenéis
158,"you have [sing, inf] {e > ie}",tienes
159,you have/eat lunch [pl] {o > ue},almorzáis
160,"you have/eat lunch [sing, inf] {o > ue}",almuerzas
161,you hear [pl],oís
162,"you hear [sing, inf]",oyes
163,you know/know how [pl],sabéis
164,"you know/know how [sing, inf]",sabes
165,you leave/exit/go out [pl],salís
166,"you leave/exit/go out [sing, inf]",sales
167,you lie [pl] {e > ie},mentís
168,"you lie [sing, inf] {e > ie}",mientes
169,you lose [pl] {e > ie},perdéis
170,"you lose [sing, inf] {e > ie}",pierdes
171,you play [pl] {u > ue},jugáis
172,"you play [sing, inf] {u > ue}",juegas
173,you prefer [pl] {e > ie},preferís
174,"you prefer [sing, inf] {e > ie}",prefieres
175,you put [pl],ponéis
176,"you put [sing, inf]",pones
177,you remember [pl] {o > ue},recordáis
178,"you remember [sing, inf] {o > ue}",recuerdas
179,you repeat [pl] {e > i},repetís
180,"you repeat [sing, inf] {e > i}",repites
181,you return [pl] {o > ue},volvéis
182,"you return [sing, inf] {o > ue}",vuelves
183,you return/give back [pl] {o > ue},devolvéis
184,"you return/give back [sing, inf] {o > ue}",devuelves
185,you see [pl],veis
186,"you see [sing, inf]",ves
187,you serve [pl] {e > i},servís
188,"you serve [sing, inf] {e > i}",sirves
189,you sleep [pl] {o > ue},dormís
190,"you sleep [sing, inf] {o > ue}",duermes
191,you smile [pl] {e > i},sonreís
192,"you smile [sing, inf] {e > i}",sonríes
193,you think [pl] {e > ie},pensáis
194,"you think [sing, inf] {e > ie}",piensas
195,you understand [pl] {e > ie},entendéis
196,"you understand [sing, inf] {e > ie}",entiendes
197,you want [pl] {e > ie},queréis
198,"you want [sing, inf] {e > ie}",quieres
