"id";"word";"answer"
"1";"open";"abierto"
"2";"absolute";"absoluto"
"3";"active";"activo"
"4";"current";"actual"
"5";"suitable";"adecuado"
"6";"German";"alemán"
"7";"high";"alto"
"8";"environmental";"ambiental"
"9";"extensive";"amplio"
"10";"previous";"anterior"
"11";"old";"antiguo"
"12";"annual";"anual"
"13";"Argentinean";"argentino"
"14";"armed";"armado"
"15";"artistic";"artístico"
"16";"blue";"azul"
"17";"low";"bajo"
"18";"white";"blanco"
"19";"good";"bueno"
"20";"basic";"básico"
"21";"capable";"capaz"
"22";"central";"central"
"23";"near";"cercano"
"24";"scientific";"científico"
"25";"certain";"cierto"
"26";"civil";"civil"
"27";"light";"claro"
"28";"classic";"clásico"
"29";"collective";"colectivo"
"30";"Colombian";"colombiano"
"31";"commercial";"comercial"
"32";"complex";"complejo"
"33";"complete";"completo"
"34";"common";"común"
"35";"concrete";"concreto"
"36";"contrary";"contrario"
"37";"short";"corto"
"38";"Cuban";"cubano"
"39";"cultural";"cultural"
"40";"definitive";"definitivo"
"41";"democratic";"democrático"
"42";"sporty";"deportivo"
"43";"determined";"determinado"
"44";"such";"dicho"
"45";"different";"diferente"
"46";"difficult";"difícil"
"47";"digital";"digital"
"48";"direct";"directo"
"49";"different";"distinto"
"50";"various";"diverso"
"51";"double";"doble"
"52";"hard";"duro"
"53";"weak";"débil"
"54";"economic";"económico"
"55";"educational";"educativo"
"56";"effective";"efectivo"
"57";"electoral";"electoral"
"58";"electronic";"electrónico"
"59";"electric";"eléctrico"
"60";"huge";"enorme"
"61";"scarce";"escaso"
"62";"Spanish";"español"
"63";"special";"especial"
"64";"specific";"específico"
"65";"American";"estadounidense"
"66";"statewide";"estatal"
"67";"European";"europeo"
"68";"clear";"evidente"
"69";"outside";"exterior"
"70";"foreign";"extranjero"
"71";"strange";"extraño"
"72";"familiar";"familiar"
"73";"famous";"famoso"
"74";"federal";"federal"
"75";"happy";"feliz"
"76";"female";"femenino"
"77";"last";"final"
"78";"financial";"financiero"
"79";"fiscal";"fiscal"
"80";"French";"francés"
"81";"cold";"frío"
"82";"strong";"fuerte"
"83";"fundamental";"fundamental"
"84";"easy";"fácil"
"85";"physical";"físico"
"86";"general";"general"
"87";"global";"global"
"88";"big";"grande"
"89";"serious";"grave"
"90";"usual";"habitual"
"91";"historical";"histórico"
"92";"human";"humano"
"93";"same";"igual"
"94";"important";"importante"
"95";"impossible";"imposible"
"96";"independent";"independiente"
"97";"individual";"individual"
"98";"indigenous";"indígena"
"99";"childish";"infantil"
"100";"initial";"inicial"
"101";"immediate";"inmediato"
"102";"intense";"intenso"
"103";"interesting";"interesante"
"104";"international";"internacional"
"105";"internal";"interno"
"106";"young";"joven"
"107";"judicial";"judicial"
"108";"together";"junto"
"109";"labor";"laboral"
"110";"long";"largo"
"111";"legal";"legal"
"112";"free";"libre"
"113";"literary";"literario"
"114";"full";"lleno"
"115";"local";"local"
"116";"bad";"malo"
"117";"greater";"mayor"
"118";"medium";"medio"
"119";"better";"mejor"
"120";"lesser";"menor"
"121";"Mexican";"mexicano"
"122";"military";"militar"
"123";"modern";"moderno"
"124";"world-wide";"mundial"
"125";"municipal";"municipal"
"126";"musical";"musical"
"127";"maximum";"máximo"
"128";"doctor";"médico"
"129";"minimum";"mínimo"
"130";"national";"nacional"
"131";"natural";"natural"
"132";"required";"necesario"
"133";"negative";"negativo"
"134";"black";"negro"
"135";"normal";"normal"
"136";"new";"nuevo"
"137";"numerous";"numeroso"
"138";"official";"oficial"
"139";"original";"original"
"140";"dark";"oscuro"
"141";"particular";"particular"
"142";"worse";"peor"
"143";"small";"pequeño"
"144";"perfect";"perfecto"
"145";"permanent";"permanente"
"146";"personal";"personal"
"147";"full";"pleno"
"148";"poor";"pobre"
"149";"political";"político"
"150";"popular";"popular"
"151";"possible";"posible"
"152";"positive";"positivo"
"153";"present";"presente"
"154";"previous";"previo"
"155";"main";"principal"
"156";"private";"privado"
"157";"productive";"productivo"
"158";"professional";"profesional"
"159";"deep";"profundo"
"160";"own";"propio"
"161";"next";"próximo"
"162";"pure";"puro"
"163";"public";"público"
"164";"rare";"raro"
"165";"real";"real"
"166";"recent";"reciente"
"167";"regional";"regional"
"168";"religious";"religioso"
"169";"rich";"rico"
"170";"red";"rojo"
"171";"rural";"rural"
"172";"fast";"rápido"
"173";"sanitary";"sanitario"
"174";"dry";"seco"
"175";"safe";"seguro"
"176";"simple";"sencillo"
"177";"serious";"serio"
"178";"significant";"significativo"
"179";"following";"siguiente"
"180";"similar";"similar"
"181";"simple";"simple"
"182";"social";"social"
"183";"only";"solo"
"184";"enough";"suficiente"
"185";"top";"superior"
"186";"technology";"tecnológico"
"187";"total";"total"
"188";"traditional";"tradicional"
"189";"quiet";"tranquilo"
"190";"technical";"técnico"
"191";"joined";"unido"
"192";"academic";"universitario"
"193";"urban";"urbano"
"194";"true";"verdadero"
"195";"green";"verde"
"196";"old";"viejo"
"197";"live, alive";"vivo"
"198";"last";"último"
"199";"unique";"único"
