"id";"word";"answer"
"1";"to reduce";"reducir"
"2";"to appear";"aparecer"
"3";"to fit";"caber"
"4";"to leave/go out";"salir"
"5";"to attract";"atraer"
"6";"to contract";"contraer"
"7";"to distract";"distraer"
"8";"to propose";"proponer"
"9";"to suppose";"suponer"
"10";"to compose";"componer"
"11";"to expose";"exponer"
"12";"to offer";"ofrecer"
"13";"to disappear";"desaparecer"
"14";"to grow";"crecer"
"15";"to deserve";"merecer"
"16";"to obey";"obedecer"
"17";"to protect";"proteger"
"18";"to pick up/gather";"recoger"
"19";"to repeat";"repetir"
"20";"to correct";"corregir"
"21";"to turn on, to light/turn on";"encender"
"22";"to defend";"defender"
