id;word;answer
"1";"She attends the early class.";"(ella) Asiste a la clase temprana."
"2";"She covers the clean bowl.";"(ella) Cubre el tazón limpio."
"3";"She prints the long report.";"(ella) Imprime el informe largo."
"4";"She receives the long letter.";"(ella) Recibe la carta larga."
"5";"We attend the local event.";"(nosotros) Asistimos al evento local."
"6";"We decide the final plan.";"(nosotros) Decidimos el plan final."
"7";"We discuss the short topic.";"(nosotros) Discutimos el tema corto."
"8";"We print the simple form.";"(nosotros) Imprimimos el formulario simple."
"9";"We join the small group.";"(nosotros) Unimos al grupo pequeño."
"10";"We live near the tall building.";"(nosotros) Vivimos cerca del edificio alto."
"11";"You open the narrow drawer. [sing, inf]";"(tú) Abres el cajón angosto."
"12";"You share the blue folder. [sing, inf]";"(tú) Compartes la carpeta azul."
"13";"You decide the simple option. [sing, inf]";"(tú) Decides la opción simple."
"14";"You discover the old tunnel. [sing, inf]";"(tú) Descubres el túnel viejo."
"15";"You go up the steep hill. [sing, inf]";"(tú) Subes la colina empinada."
"16";"You describe the bright room. [sing, formal]";"(usted) Describe el cuarto brillante."
"17";"You write a short message. [sing, formal]";"(usted) Escribe un mensaje corto."
"18";"You insist on the final point. [sing, formal]";"(usted) Insiste en el punto final."
"19";"You omit the final line. [sing, formal]";"(usted) Omite la línea final."
"20";"You admit the clear truth. [pl]";"(ustedes) Admiten la verdad clara."
"21";"You fulfill the daily task. [pl]";"(ustedes) Cumplen la tarea diaria."
"22";"You describe the quiet garden. [pl]";"(ustedes) Describen el jardín tranquilo."
"23";"You discuss the new idea. [pl]";"(ustedes) Discuten la idea nueva."
"24";"You write clear notes daily. [pl]";"(ustedes) Escriben notas claras."
"25";"You depart from the quiet stop. [pl]";"(ustedes) Parten de la parada tranquila."
"26";"You join the new team. [pl]";"(ustedes) Unen al equipo nuevo."
"27";"I open the small door.";"(yo) Abro la puerta pequeña."
"28";"I admit my small error.";"(yo) Admito mi error pequeño."
"29";"I share the warm bread.";"(yo) Comparto el pan tibio."
"30";"I cover the warm pot.";"(yo) Cubro la olla tibia."
"31";"I discover the hidden door.";"(yo) Descubro la puerta oculta."
"32";"I insist on the clear rule.";"(yo) Insisto en la regla clara."
"33";"I omit the extra detail.";"(yo) Omito el detalle extra."
"34";"I allow a short visit.";"(yo) Permito una visita corta."
"35";"I receive the heavy box.";"(yo) Recibo la caja pesada."
"36";"I go up the narrow stairs.";"(yo) Subo las escaleras angostas."
"37";"He fulfills the simple goal.";"(él) Cumple la meta simple."
"38";"He departs from the busy station.";"(él) Parte de la estación ocupada."
"39";"He allows the small change.";"(él) Permite el cambio pequeño."
"40";"He lives in the quiet house.";"(él) Vive en la casa tranquila."
