"Title: The Museum Visit";"La Visita al Museo"
"They open the doors right at nine.";"Ellos abren las puertas justo a las nueve."
"We admit that we love this museum.";"Admitimos que nos encanta este museo."
"You attend the first tour of the day.";"Asistes al primer recorrido del día."
"I share my map with two tourists.";"Comparto mi mapa con dos turistas."
"He covers his head with a hat because it’s sunny.";"Él cubre su cabeza con un sombrero porque hace sol."
"She turns fifteen this year.";"Ella cumple quince este año."
"We decide which exhibit to see first.";"Decidimos qué exhibición ver primero."
"They describe the paintings with excitement.";"Ellos describen las pinturas con emoción."
"I discover a quiet room full of old letters.";"Descubro una sala tranquila llena de cartas antiguas."
"Tomorrow I am going to discuss the visit with my class.";"Mañana voy a discutir la visita con mi clase."
