"id";"word";"answer"
"1";"She commits to the simple plan.";"(ella) Comete el plan simple."
"2";"She understands the basic rule.";"(ella) Comprende la regla básica."
"3";"She sews a white dress.";"(ella) Cose un vestido blanco."
"4";"She believes the simple message.";"(ella) Cree el mensaje simple."
"5";"She hides the green folder.";"(ella) Esconde la carpeta verde."
"6";"We absorb the clear lesson.";"(nosotros) Absorbemos la lección clara."
"7";"We eat in the bright room.";"(nosotros) Comemos en el cuarto brillante."
"8";"We correspond every calm week.";"(nosotros) Correspondemos cada semana tranquila."
"9";"We read the short story.";"(nosotros) Leemos el cuento corto."
"10";"We put the red book inside.";"(nosotros) Metemos el libro rojo."
"11";"We turn on the old radio.";"(nosotros) Prendemos la radio vieja."
"12";"We respond to the short note.";"(nosotros) Respondemos a la nota corta."
"13";"We break the old basket.";"(nosotros) Rompemos la canasta vieja."
"14";"We surprise our young cousin.";"(nosotros) Sorprendemos a nuestro primo joven."
"15";"We happen in rare cases.";"(nosotros) Sucedemos en casos raros."
"16";"You drink the fresh water. [sing, inf]";"(tú) Bebes el agua fresca."
"17";"You exceed the normal limit. [sing, inf]";"(tú) Excedes el límite normal."
"18";"You read the long article. [sing, inf]";"(tú) Lees el artículo largo."
"19";"You proceed after the short break. [sing, inf]";"(tú) Procedes después del descanso corto."
"20";"You promise honest work. [sing, inf]";"(tú) Prometes trabajo honesto."
"21";"You protect your soft skin. [sing, inf]";"(tú) Proteges tu piel suave."
"22";"You respond with quick words. [sing, inf]";"(tú) Respondes con palabras rápidas."
"23";"You suspend the noisy class. [sing, inf]";"(tú) Suspendes la clase ruidosa."
"24";"You fear the dark night. [sing, inf]";"(tú) Temes la noche oscura."
"25";"You learn the short lesson. [sing, formal]";"(usted) Aprende la lección corta."
"26";"You sweep the narrow hall. [sing, formal]";"(usted) Barre el pasillo angosto."
"27";"You correspond with the new team. [sing, formal]";"(usted) Corresponde con el equipo nuevo."
"28";"You put the small toy inside. [sing, formal]";"(usted) Mete el juguete pequeño."
"29";"You offend the quiet group. [sing, formal]";"(usted) Ofende al grupo tranquilo."
"30";"You turn on the bright lamp. [sing, formal]";"(usted) Prende la lámpara brillante."
"31";"You surprise your kind friend. [sing, formal]";"(usted) Sorprende a su amigo amable."
"32";"You cough a little today. [sing, formal]";"(usted) Tose un poco hoy."
"33";"You sell the old radio. [sing, formal]";"(usted) Vende la radio vieja."
"34";"They learn simple words. [pl]";"(ustedes) Aprenden palabras simples."
"35";"You sew the blue fabric. [pl]";"(ustedes) Cosen la tela azul."
"36";"You believe the local news. [pl]";"(ustedes) Creen las noticias locales."
"37";"You should read the guide. [pl]";"(ustedes) Deben leer la guía."
"38";"You depend on our plan. [pl]";"(ustedes) Dependen de nuestro plan."
"39";"You possess many bright photos. [pl]";"(ustedes) Poseen muchas fotos brillantes."
"40";"You go back to the main road. [pl]";"(ustedes) Retroceden a la calle principal."
"41";"You suspend the late meeting. [pl]";"(ustedes) Suspenden la reunión tardía."
"42";"You fear the loud thunder. [pl]";"(ustedes) Temen el trueno fuerte."
"43";"You sell the small lamp. [pl]";"(ustedes) Venden la lámpara pequeña."
"44";"I absorb the new information.";"(yo) Absorbo la información nueva."
"45";"I sweep the dusty floor.";"(yo) Barro el piso polvoriento."
"46";"I commit small daily errors.";"(yo) Cometo errores diarios pequeños."
"47";"I eat a warm meal.";"(yo) Como una comida tibia."
"48";"I understand your clear idea.";"(yo) Comprendo tu idea clara."
"49";"I run near the tall tree.";"(yo) Corro cerca del árbol alto."
"50";"I should finish this task.";"(yo) Debo terminar esta tarea."
"51";"I depend on your calm voice.";"(yo) Dependo de tu voz tranquila."
"52";"I hide the small coin.";"(yo) Escondo la moneda pequeña."
"53";"I offend no kind person.";"(yo) Ofendo a ninguna persona amable."
"54";"I possess a small notebook.";"(yo) Poseo un cuaderno pequeño."
"55";"I protect my small dog.";"(yo) Protejo a mi perro pequeño."
"56";"I go back to the quiet path.";"(yo) Retrocedo al camino tranquilo."
"57";"He drinks the cold juice.";"(él) Bebe el jugo frío."
"58";"He runs on the quiet street.";"(él) Corre en la calle tranquila."
"59";"He exceeds the high goal.";"(él) Excede la meta alta."
"60";"He proceeds with slow steps.";"(él) Procede con pasos lentos."
"61";"He promises a short visit.";"(él) Promete una visita corta."
"62";"He breaks the thin pencil.";"(él) Rompe el lápiz delgado."
"63";"It happens every quiet morning.";"(él) Sucede cada mañana tranquila."
"64";"He coughs in the cold air.";"(él) Tose en el aire frío."
