"id";"word";"answer"
"1";"Hello, good afternoon.";"Hola, buenas tardes."
"2";"Good afternoon.";"Buenas tardes."
"3";"I’m David.";"Soy David."
"4";"Nice to meet you, David. I’m Miguel.";"Mucho gusto, David. Yo soy Miguel."
"5";"Nice to meet you. I’m from Seattle, Washington.";"Mucho gusto. Soy de Seattle, Washington."
"6";"Oh, nice. Are you visiting?";"Ah, qué bien. ¿Está de visita?"
"7";"Yes, I’m in El Tuito for two weeks.";"Sí, estoy en El Tuito por dos semanas."
"8";"Do you like the town?";"¿Le gusta el pueblo?"
"9";"Yes, I like it a lot. I walk and relax every day.";"Sí, me gusta mucho. Camino y descanso todos los días."
"10";"That’s good. It’s a quiet place.";"Qué bueno. Es un lugar tranquilo."
"11";"Yes, very quiet.";"Sí, muy tranquilo."
"12";"Well, enjoy your visit.";"Bueno, que disfrute su visita."
"13";"Thank you. Have a good day.";"Gracias. Que tenga buen día."
"14";"You too.";"Igualmente."
