"id","word","answer"
"1","conditioner","acondicionador"
"2","adapter","adaptador"
"3","additional","adicional"
"4","airport","aeropuerto"
"5","water","agua"
"6","hot water","agua caliente"
"7","cold water","agua fría"
"8","air conditioning","aire acondicionado"
"9","alarm","alarma"
"10","pillow","almohada"
"11","last name","apellido"
"12","balcony","balcón"
"13","bathroom","baño"
"14","trash can","bote de basura"
"15","bellhop","botones"
"16","ironing board","burro de planchar"
"17","safe","caja fuerte"
"18","heater","calefacción"
"19","bed","cama"
"20","housekeeper","camarista"
"21","change","cambio"
"22","charger","cargador"
"23","cell phone","celular"
"24","toothbrush","cepillo de dientes"
"25","closet","clóset"
"26","blanket","cobija"
"27","mattress","colchón"
"28","password","contraseña"
"29","Wi-Fi password","contraseña del Wi-Fi"
"30","remote control","control remoto"
"31","bill","cuenta"
"32","deposit","depósito"
"33","breakfast","desayuno"
"34","broken [feminine]","descompuesta"
"35","broken","descompuesto"
"36","address","dirección"
"37","vacancy","disponibilidad"
"38","available","disponible"
"39","doctor","doctor"
"40","cash","efectivo"
"41","elevator","elevador"
"42","emergency","emergencia"
"43","outlet","enchufe"
"44","entrance","entrada"
"45","early check-in","entrada anticipada"
"46","luggage","equipaje"
"47","stairs","escaleras"
"48","parking","estacionamiento"
"49","extra","extra"
"50","missing","faltante"
"51","pharmacy","farmacia"
"52","signature","firma"
"53","form","formulario"
"54","leak","fuga"
"55","pillowcase","funda de almohada"
"56","hanger","gancho"
"57","manager","gerente"
"58","baggage storage","guardaequipaje"
"59","room","habitación"
"60","non-smoking room","habitación de no fumar"
"61","double room","habitación doble"
"62","smoking room","habitación para fumar"
"63","single room","habitación sencilla"
"64","quiet room","habitación tranquila"
"65","ice","hielo"
"66","hotel","hotel"
"67","guest","huésped"
"68","ID","identificación"
"69","tax","impuesto"
"70","toilet","inodoro"
"71","switch","interruptor"
"72","soap","jabón"
"73","hand soap","jabón de manos"
"74","body wash","jabón líquido"
"75","lamp","lámpara"
"76","sink","lavabo"
"77","laundry","lavandería"
"78","do not disturb sign","letrero de no molestar"
"79","clean [feminine]","limpia"
"80","to clean","limpiar"
"81","clean","limpio"
"82","wake-up call","llamada de despertador"
"83","key","llave"
"84","full / no vacancy","lleno"
"85","light","luz"
"86","map","mapa"
"87","night","noche"
"88","first name","nombre"
"89","phone number","número de teléfono"
"90","lost and found","objetos perdidos"
"91","tissues","pañuelos"
"92","toilet paper","papel de baño"
"93","passport","pasaporte"
"94","hallway","pasillo"
"95","toothpaste","pasta de dientes"
"96","staff","personal"
"97","pool","piscina"
"98","floor","piso"
"99","upper floor","piso alto"
"100","iron","plancha"
"101","ground floor","planta baja"
"102","first floor","primer piso"
"103","problem","problema"
"104","tip","propina"
"105","door","puerta"
"106","complaint","queja"
"107","reception","recepción"
"108","front desk","recepción"
"109","receipt","recibo"
"110","shower","regadera"
"111","check-in","registro de entrada"
"112","check-out","registro de salida"
"113","reservation","reservación"
"114","restaurant","restaurante"
"115","noise","ruido"
"116","sheets","sábanas"
"117","exit","salida"
"118","late check-out","salida tarde"
"119","hair dryer","secadora de pelo"
"120","second floor","segundo piso"
"121","security","seguridad"
"122","room service","servicio a la habitación"
"123","valet parking","servicio de valet"
"124","shampoo","shampoo"
"125","dirty [feminine]","sucia"
"126","dirty","sucio"
"127","rate / price","tarifa"
"128","key card","tarjeta"
"129","credit card","tarjeta de crédito"
"130","taxi","taxi"
"131","television","televisión"
"132","bathtub","tina"
"133","towel","toalla"
"134","shuttle","transporte"
"135","window","ventana"
"136","fan","ventilador"
"137","lobby","vestíbulo"
"138","view","vista"
"139","street view","vista a la calle"
"140","sea view","vista al mar"
"141","wifi","wifi"
