"Title: The Lost Book";"El Libro Perdido"
"I owe the library a small fine.";"Debo una multa pequeña a la biblioteca."
"We depend on the map to find the right shelf.";"Dependemos del mapa para encontrar el estante correcto."
"She hides the book in her backpack.";"Ella esconde el libro en su mochila."
"He exceeds the time limit for returns.";"Él excede el tiempo límite para devoluciones."
"They read quietly near the window.";"Ellos leen en silencio cerca de la ventana."
"You put the card in the return box.";"Metes la tarjeta en la caja de devoluciones."
"I don’t want to offend the librarian.";"No quiero ofender a la bibliotecaria."
"The library possesses many old books.";"La biblioteca posee muchos libros antiguos."
"We turn on the small reading lamp.";"Prendemos la lamparita de lectura."
"Tomorrow we are going to proceed with the payment.";"Mañana vamos a proceder con el pago."
