"id";"word";"answer"
"1";"A teacher named Rosa explains grammar to students.";"Una maestra llamada Rosa explica gramática a estudiantes."
"2";"She wins the Teacher of the Year award.";"Ella gana el premio Maestra del Año."
"3";"Rosa speaks with clarity and genuine enthusiasm.";"Rosa habla con claridad y entusiasmo genuino."
"4";"Students try to understand difficult concepts daily.";"Los estudiantes intentan entender conceptos difíciles diariamente."
"5";"Does she invite families to school events?";"¿Ella invita a familias a eventos escolares?"
"6";"Yes, she invites everyone to celebrate together.";"Sí, ella invita a todos a celebrar juntos."
"7";"Rosa washes the classroom walls every single week.";"Rosa lava las paredes del aula cada semana."
"8";"She cleans the chalkboard before each lesson.";"Ella limpia el pizarrón antes de cada lección."
"9";"Teachers call her a brilliant educator always.";"Los maestros la llaman una educadora brillante."
"10";"Does her dedication arrive before dawn every day?";"¿Su dedicación llega antes del amanecer diariamente?"
"11";"Always, she arrives at school before students.";"Siempre, ella llega a la escuela primero."
"12";"Rosa carries heavy books for her students.";"Rosa lleva libros pesados para sus estudiantes."
"13";"I explain difficult ideas using simple examples.";"Explico ideas difíciles usando ejemplos simples."
"14";"You win respect through honesty and effort.";"Tú ganas respeto a través de honestidad."
"15";"She speaks about dreams and possibilities daily.";"Ella habla de sueños y posibilidades diariamente."
"16";"We try harder when someone believes in us.";"Intentamos más cuando alguien cree en nosotros."
"17";"They invite their friends to join the class.";"Invitan a sus amigos a unirse a la clase."
"18";"I wash my hands before preparing the lessons.";"Me lavo las manos antes de preparar lecciones."
"19";"Does she clean the room with her students?";"¿Ella limpia el aula con sus estudiantes?"
"20";"Yes, she teaches responsibility through shared work.";"Sí, enseña responsabilidad a través de trabajo compartido."
"21";"Students call her the best teacher in school.";"Los estudiantes la llaman la mejor maestra."
"22";"What time does she arrive in the morning?";"¿A qué hora llega ella por la mañana?"
"23";"She arrives at seven to prepare everything.";"Llega a las siete para preparar todo."
"24";"Rosa carries love into every single classroom.";"Rosa lleva amor a cada aula solamente."
"25";"I explain grammar rules until students understand.";"Explico reglas gramaticales hasta que entiendan."
"26";"You win hearts through patience and care.";"Tú ganas corazones a través de paciencia."
"27";"She speaks languages with perfect pronunciation.";"Ella habla idiomas con pronunciación perfecta."
"28";"We try our best to make her proud.";"Intentamos nuestro mejor esfuerzo hacerla orgullosa."
"29";"They invite her to speak at conferences.";"La invitan a hablar en conferencias."
"30";"Rosa's legacy carries light into countless lives.";"El legado de Rosa lleva luz a innumerables vidas."
