"id","word","answer"
"1","My house is old and large, with many windows.","Mi casa es vieja y grande, con muchas ventanas."
"2","The curtains throughout the house are thick.","Las cortinas en toda la casa son gruesas."
"3","The walls of the interior of the house are white.","Las paredes del interior de la casa son blancas."
"4","The exterior is gray.","El exterior es gris."
"5","The patio is beautiful, with flowers still.","El patio es bonito, con flores todavía."
"6","An antique mirror and a fine wood table are in the vestibule.","Un espejo antiguo y una mesa de madera fina están en el vestíbulo."
"7","The dining room is simple, with a table and six chairs.","El comedor es sencillo, con una mesa y seis sillas."
"8","The carpet is red and navy blue.","La alfombra es roja y azul marino."
"9","The kitchen is spacious, with yellow walls and white cabinets.","La cocina es amplia, con paredes amarillas y gabinetes blancos."
"10","The refrigerator is quite large, and the stove and oven are clean.","La nevera es bastante grande, y la estufa y el horno están limpios."
"11","Two comfortable armchairs and a piano are in the living room.","Dos sillones cómodos y un piano están en la sala."
"12","My bedroom with a private bathroom is blue and white.","Mi alcoba con un baño privado es azul y blanca."
"13","My books, my notebooks, my pencils and pens, my collection of compact discs, and my videos are in the study.","Mis libros, mis cuadernos, mis lápices y bolígrafos, mi colección de discos compactos, y mis videos están en el estudio."
"14","Today is a beautiful day.","Hoy es un día hermoso."
