"id";"word";"answer"
"1";"Title: The Creative Workshop";"El Taller Creativo"
"2";"We write ideas on a big sheet of paper.";"Escribimos ideas en una hoja grande de papel."
"3";"You print small labels for the materials.";"Imprimes etiquetas pequeñas para los materiales."
"4";"I insist on trying a new design.";"Insisto en probar un diseño nuevo."
"5";"They omit the complicated steps.";"Ellos omiten los pasos complicados."
"6";"She departs to buy more glue.";"Ella parte para comprar más pegamento."
"7";"The instructor allows us to use any color.";"El instructor nos permite usar cualquier color."
"8";"He receives a box full of supplies.";"Él recibe una caja llena de materiales."
"9";"We go up to the rooftop for better light.";"Subimos a la azotea para tener mejor luz."
"10";"Everyone joins the final activity.";"Todos se unen a la actividad final."
"11";"Tomorrow we are going to live another creative day.";"Mañana vamos a vivir otro día creativo."
