"id";"word";"answer"
"1";"Next, you must whip the cream.";"A continuación, debes batir la crema."
"2";"Andrea has important news.";"Andrea tiene noticias importantes."
"3";"I think her pacifier is on the floor.";"Creo que su chupete está en el piso."
"4";"At night, fireflies appear in the garden.";"De noche, aparecen luciérnagas en el jardín."
"5";"We must follow the legal procedure.";"Debemos seguir el procedimiento legal."
"6";"You must better manage your income.";"Debes administrar mejor tus ingresos."
"7";"You must comply with the agreement.";"Debes cumplir con el contrato."
"8";"You must improve your behavior.";"Debes mejorar tu conducta."
"9";"You must remember what I am going to tell you.";"Debes recordar lo que te voy a decir."
"10";"The sommelier serves the wine.";"El sumiller sirve el vino."
"11";"Minors cannot enter this bar.";"En este bar no pueden entrar menores de edad."
"12";"It's your choice.";"Es tu elección."
"13";"It is a regional problem, not a national one.";"Es un problema regional, no nacional."
"14";"Those trees are very tall.";"Esos árboles son muy altos."
"15";"This is a private party.";"Esta es una fiesta privada."
"16";"We are in direct communication with the Minister of Economy.";"Estamos en comunicación directa con el Ministro de Economía."
"17";"I am very happy for my new job.";"Estoy muy feliz por mi nuevo empleo."
"18";"There are certain things that I can't tell you yet.";"Hay ciertas cosas que no puedo contarte aún."
"19";"Crucial investigations are underway.";"Hay investigaciones cruciales en proceso."
"20";"There is a sock under the bed.";"Hay un calcetín debajo de la cama."
"21";"Hugo and Jorge are responsible parents.";"Hugo y Jorge son padres responsables."
"22";"The pharmacy is open.";"La farmacia está abierta."
"23";"The mind is very complex.";"La mente es muy compleja."
"24";"The soup temperature is perfect.";"La temperatura de la sopa está perfecta."
"25";"Tree leaves fall in autumn.";"Las hojas de los árboles se caen en otoño."
"26";"The baby’s hands are very small and delicate.";"Las manos del bebé son muy pequeñas y delicadas."
"27";"Lorena is the company’s spokesperson.";"Lorena es la portavoz de la empresa."
"28";"Human beings can be selfish.";"Los seres humanos pueden ser egoístas."
"29";"My father is not feeling very well.";"Mi padre no se siente muy bien."
"30";"My true passion is music.";"Mi verdadera pasión es la música."
"31";"We need to identify the causes of the problem.";"Necesitamos identificar las causas del problema."
"32";"We need more positive votes.";"Necesitamos más votos positivos."
"33";"None of my friends want to go to the cinema.";"Ninguno de mis amigos quiere ir al cine."
"34";"We don't know how to get to the port.";"No sabemos cómo llegar al puerto."
"35";"I do not have clean clothes.";"No tengo ropa limpia."
"36";"See you tomorrow at the office.";"Nos vemos mañana en la oficina."
"37";"I prefer dark colors.";"Prefiero los colores oscuros."
"38";"Dear Oscar, I hope you are well.";"Querido Oscar, espero que estés bien."
"39";"I feel a slight headache.";"Siento un ligero dolor de cabeza."
"40";"I am an ordinary person.";"Soy una persona común y corriente."
"41";"Yes, I want gravy, but I want it on the side.";"Sí, quiero salsa, pero la quiero aparte."
"42";"I have to make difficult decisions.";"Tengo que tomar decisiones difíciles."
"43";"I have a small debt to my sister.";"Tengo una pequeña deuda con mi hermana."
"44";"I work for a government entity.";"Trabajo para una entidad gubernamental."
"45";"Your shirt is similar to mine.";"Tu camiseta es similar a la mía."
"46";"Your parents seem very nice.";"Tus padres parecen muy agradables."
"47";"It's too windy! Let’s go inside.";"¡Hay demasiado viento! Vamos adentro."
"48";"I want to read an adventure book!";"¡Quiero leer un libro de aventuras!"
"49";"I am so hungry!";"¡Tengo tanta hambre!"
"50";"What is the wifi password?";"¿Cuál es la clave del wifi?"
"51";"What was his reaction to the news?";"¿Cuál fue su reacción ante la noticia?"
"52";"How many apples do we have left?";"¿Cuántas manzanas nos quedan?"
"53";"Is so much salt in the food necessary?";"¿Es necesaria tanta sal en la comida?"
"54";"Are you traveling together?";"¿Estáis viajando juntos?"
"55";"Are you willing to get up early?";"¿Estás dispuesto a levantarte temprano?"
"56";"Is there a park around here?";"¿Hay un parque por aquí?"
"57";"Could you turn down the volume?";"¿Podrías bajar el volumen?"
"58";"Do you want some fig jam?";"¿Quieres un poco de dulce de higo?"
"59";"Are you coming with me to do the shopping?";"¿Vienes conmigo a hacer las compras?"
