"id","word","answer"
"1","a friend","un amigo, una amiga"
"2","the letter","la carta"
"3","the car","el coche"
"4","the bathroom","el baño"
"5","the money","el dinero"
"6","water","agua"
"7","beer","la cerveza"
"8","fría","cold"
"9","a gift","un regalo"
"10","a bank","un banco"
"11","a souvenir","un recuerdo"
"12","the door","la puerta"
"13","the guitar","la guitarra"
"14","the music","la música"
"15","a song","una canción"
"16","the question","la pregunta"
"17","the cake","el pastel"
"18","the husband","el esposo"
"19","the wife","la esposa"
"20","la niña","the girl"
"21","the dishes","las trastes"
"22","the park","el parque"
"23","the office","la oficina"
"24","downtown","el centro"
"25","the class","la clase"
"26","the market","el mercado"
"27","the store","la tienda"
"28","the teacher","el maestro"
"29","the package","el paquete"
"30","an apartment","un departamento"
"31","the program","el programa"
"32","the jacket","la chamarra [chaqueta]"
"33","the fruit","la fruta"
"34","the book","el libro"
"35","the key","la llave"
"36","a computer","una computadora"
"37","the statue","la estatua"
"38","the doorbell","el timbre"
"39","the watch","el reloj"
"40","the window","la ventana"
"41","the trash","la basura"
"42","the bag","la bolsa"
"43","a restaurant","un restaurante"
"44","the kitchen","la cocina"
"45","hot-spicy","picante"
"46","the number","el numero"
"47","the candies","los dulces"
"48","the flowerpot","la maceta"
"49","the film","la película"
"50","the history, story","la historia"
"51","the table","la mesa"
"52","the chairs","las sillas"
"53","the stairs","las escaleras"
"54","the shoes","los zapatos"
"55","the contract","el contrato"
"56","the boys","los muchachos"
"57","the room, bedroom","el cuarto"
"58","the hotel room","la habitación"
"59","the bedroom [specifically]","la recámara"
"60","the meat","la carne"
"61","everything","todo"
"62","the exercises","los ejercicios"
"63","the movie theater","el cine"
"64","the sport","el deporte"
"65","the instrument","el instrumento"
"66","the cream","la crema"
"67","the sugar","el azúcar"
"68","things","cosas"
"69","underneath","abajo de"
"70","Monday through Friday","de lunes a viernes"
"71","the clothes","la ropa"
"72","the newspaper","el periódico"
"73","the lesson","la lección"
"74","the change","el cambio"
"75","the heat","el calor"
"76","a telephone","un teléfono"
"77","a cellphone","un celular"
"78","the years","los años"
"79","the hunger","el hambre"
"80","hurry","prisa"
"81","the tickets","los boletos"
"82","thirst","sed"
"83","fear","miedo"
"84","time","tiempo"
"85","sleepiness, dream","sueño"
"86","messages","los mensajes"
"87","voice messages [or written notes]","los recados"
"88","the calls","las llamadas"
"89","the people","la gente"
"90","the students","los estudiantes"
"91","the instructions","las instrucciones"
"92","a reservation","una reservación"
"93","the onions","las cebollas"
"94","the train","el tren"
"95","the flowers","las flores"
"96","the dollars","los dólares"
"97","the pages","las páginas"
