"id","word","answer"
"1","Good morning.","Buenos días. [used from daylight until noon]"
"2","Good afternoon.","Buenas tardes. [used from noon until 7pm or dark]"
"3","Good evening.","Buenas noches. [used from 7pm or dark]"
"4","Goodbye.","Adiós. [also used when passing and making eye contact with someone]"
"5","Hello.","Hola. [informal greeting used with children or friends]"
"6","Hello, good morning.","Hola, buenos días. [formally]"
"7","Good morning. How are you? [f]","Buenos días. ¿Cómo está? [f]"
"8","Very well, thank you. And you? [f]","Muy bien gracias. ¿Y usted? [f]"
"9","Goodbye. Until later.","Adiós. Hasta luego."
"10","Goodbye. Good night.","Adiós. Buenas noches."
"11","Excuse me, please. [used to pass by someone in the way]","Con permiso, por favor. [or just con permiso]"
"12","Go ahead. [in response to con permiso]","Adelante. [or Pase] [or Propio.]"
"13","The check, please.","La cuenta, por favor."
"14","Enjoy your meal. [said in passing people eating]","Buen provecho."
"15","I don't understand.","No entiendo."
"16","Could you repeat that, please.","Repita, por favor."
"17","More slowly, please.","Más despacio, por favor."
"18","I don't speak Spanish very well.","No hablo español very well."
"19","I need to practice my Spanish.","Necesito practicar mi español."
"20","How much does it cost?","¿Cuánto cuesta?"
