word,answer
year,año
country,país
time,tiempo
part,parte
life,vida
years,años
day,día
time,vez
person,persona
woman,mujer
case,caso
man,hombre
moment,momento
world,mundo
house,casa
thing,cosa
government,gobierno
place,lugar
work,trabajo
form,forma
state,estado
group,grupo
point,punto
child,niño
city,ciudad
problem,problema
system,sistema
president,presidente
way,manera
history,historia
type,tipo
millions,millones
party,partido
month,mes
night,noche
work,obra
team,equipo
process,proceso
times,veces
change,cambio
son,hijo
center,centro
service,servicio
company,empresa
account,cuenta
hand,mano
level,nivel
project,proyecto
people,gente
water,agua
time,hora
parent,padre
development,desarrollo
week,semana
side,lado
family,familia
situation,situación
mother,madre
information,información
end,fin
program,programa
health,salud
body,cuerpo
activity,actividad
right,derecho
example,ejemplo
book,libro
middle,medio
topic,tema
days,días
law,ley
fact,hecho
zone,zona
name,nombre
result,resultado
number,número
end,final
sector,sector
street,calle
study,estudio
door,puerta
research,investigación
space,espacio
society,sociedad
action,acción
town,pueblo
director,director
reality,realidad
voice,voz
product,producto
friend,amigo
market,mercado
head,cabeza
population,población
death,muerte
minute,minuto
land,tierra
truth,verdad
sense,sentido
brother,hermano
measure,medida
security,seguridad
image,imagen
community,comunidad
power,poder
university,universidad
use,uso
reason,razón
organization,organización
idea,idea
education,educación
step,paso
area,área
century,siglo
target,objetivo
data,dato
possibility,posibilidad
production,producción
youth,joven
need,necesidad
police,policía
species,especie
path,camino
plan,plan
art,arte
attention,atención
hundred,ciento
policy,política
decision,decisión
culture,cultura
light,luz
majority,mayoría
morning,mañana
disease,enfermedad
relationship,relación
game,juego
field,campo
age,edad
experience,experiencia
risk,riesgo
force,fuerza
quality,calidad
eyes,ojos
region,región
love,amor
hours,horas
movement,movimiento
word,palabra
war,guerra
money,dinero
capacity,capacidad
author,autor
dollar,dólar
price,precio
agreement,acuerdo
face,cara
control,control
model,modelo
front,frente
afternoon,tarde
authority,autoridad
film,película
line,línea
network,red
conditions,condiciones
fault,falta
weight,peso
mode,modo
music,música
minister,ministro
background,fondo
base,base
order,orden
class,clase
presence,presencia
function,función
table,mesa
actor,actor
answer,respuesta
occasion,ocasión
principle,principio
patient,paciente
effect,efecto
difference,diferencia
mister,señor
paper,papel
series,serie
hands,manos
capital,capital
source,fuente
doubt,duda
aspect,aspecto
member,miembro
company,compañía
boss,jefe
player,jugador
view,vista
quantity,cantidad
address,dirección
value,valor
rest,resto
silence,silencio
ex,ex
air,aire
metro,metro
theater,teatro
support,apoyo
look,mirada
technology,tecnología
character,personaje
energy,energía
trip,viaje
future,futuro
event,acto
artist,artista
period,época
ministry,ministerio
dream,sueño
euro,euro
cause,causa
site,sitio
figure,figura
advice,consejo
position,cargo
professor,profesor
proposal,propuesta
cinema,cine
school,escuela
eye,ojo
public,público
object,objeto
resources,recursos
treatment,tratamiento
colleague,compañero
freedom,libertad
participation,participación
subject,asunto
interest,interés
unit,unidad
bank,banco
back,vuelta
position,posición
career,carrera
words,palabras
plant,planta
practice,práctica
effort,esfuerzo
communication,comunicación
commission,comisión
economy,economía
being,ser
analysis,análisis
footer,pie
relations,relaciones
knowledge,conocimiento
crisis,crisis
award,premio
meeting,encuentro
set,conjunto
consequence,consecuencia
soil,suelo
decade,década
text,texto
fear,miedo
student,estudiante
title,título
source,origen
doctor,médico
training,formación
date,fecha
mouth,boca
sun,sol
success,éxito
entry,entrada
room,sala
growth,crecimiento
meeting,reunión
animal,animal
report,informe
hospital,hospital
importance,importancia
business,negocio
sea,mar
consumption,consumo
article,artículo
press,prensa
letter,carta
department,departamento
material,material
strategy,estrategia
construction,construcción
television,televisión
color,color
structure,estructura
general,general
cape,cabo
