word,answer
"I will open it for you. [future tense, formal, singular]",Lo abriré para usted.
"I will close it for him. [future tense, third person, singular]",Lo cerraré para él.
"I will bring it for her. [future tense, third person, singular]",Lo traeré para ella.
"I will look for it for them. [future tense, third person, plural]",Lo buscaré para ellos.
"I will carry it for them. [F, future tense, third person, plural]",Lo llevaré para ellas.
"I will clean it for you. [future tense, informal, singular]",Lo limpiaré para ti.
"I will prepare it for me. [future tense, first person, singular]",Lo prepararé para mí.
"I will write it for us. [future tense, first person, plural]",Lo escribiré para nosotros.
"I will open it for you all. [future tense, formal, plural]",Lo abriré para ustedes.
"I will close it for you. [future tense, informal, singular]",Lo cerraré para ti.
"I will bring it for me. [future tense, first person, singular]",Lo traeré para mí.
"I will look for it for us. [future tense, first person, plural]",Lo buscaré para nosotros.
"I will carry it for her. [future tense, third person, singular]",Lo llevaré para ella.
"I will clean it for him. [future tense, third person, singular]",Lo limpiaré para él.
"I will prepare it for them. [future tense, third person, plural]",Lo prepararé para ellos.
"I will write it for you all. [future tense, formal, plural]",Lo escribiré para ustedes.
I am going to open it for him.,Lo voy a abrir para él. [Voy a abrirlo para él.]
I am going to close it for her.,Voy a cerrarlo para ella. [Lo voy a cerrar para ella.]
I am going to bring it for you.,Lo voy a traer para usted. [Voy a traerlo para usted.]
I am going to look for it for them.,Voy a buscarlo para ellos. [Lo voy a buscar para ellos.]
I am going to carry it for you all.,Lo voy a llevar para ustedes. [Voy a llevarlo para ustedes.]
I am going to clean it for me.,Voy a limpiarlo para mí. [Lo voy a limpiar para mí.]
I am going to prepare it for us.,Lo voy a preparar para nosotros. [Voy a prepararlo para nosotros.]
I am going to write it for you. [informal],Voy a escribirlo para ti. [Lo voy a escribir para ti.]
I am going to open it for them. [F],Voy a abrirlo para ellas. [Lo voy a abrir para ellas.]
I am going to close it for you all.,Lo voy a cerrar para ustedes. [Voy a cerrarlo para ustedes.]
I am going to bring it for me.,Voy a traerlo para mí. [Lo voy a traer para mí.]
I am going to look for it for her.,Lo voy a buscar para ella. [Voy a buscarlo para ella.]
I am going to carry it for him.,Voy a llevarlo para él. [Lo voy a llevar para él.]
I am going to clean it for us.,Lo voy a limpiar para nosotros. [Voy a limpiarlo para nosotros.]
I am going to prepare it for them.,Voy a prepararlo para ellos. [Lo voy a preparar para ellos.]
I am going to write it for her.,Lo voy a escribir para ella. [Voy a escribirlo para ella.]
I will buy a cake for you.,Le compraré un pastel.
I will bring a cake for him.,Le traeré un pastel.
I will prepare a cake for her.,Le prepararé un pastel.
I will save a cake for them.,Les guardaré un pastel.
I will buy a cake for them. [F],Les compraré un pastel.
I will bring a cake for you. [informal],Te traeré un pastel.
I will prepare a cake for me.,Me prepararé un pastel.
I will save a cake for us.,Nos guardaré un pastel.
I will buy a cake for you all.,Les compraré un pastel.
I will bring a cake for us.,Nos traeré un pastel.
I will prepare a cake for him.,Le prepararé un pastel.
I will save a cake for her.,Le guardaré un pastel.
I will buy a cake for them.,Les compraré un pastel.
I will bring a cake for her.,Le traeré un pastel.
I will prepare a cake for you. [informal],Te prepararé un pastel.
I will save a cake for me.,Me guardaré un pastel.
I am going to buy a cake for him.,Le voy a comprar un pastel. [Voy a comprarle un pastel.]
I am going to bring a cake for her.,Voy a traerle un pastel. [Le voy a traer un pastel.]
I am going to prepare a cake for them.,Les voy a preparar un pastel. [Voy a prepararles un pastel.]
I am going to save a cake for you.,Le voy a guardar un pastel. [Voy a guardarle un pastel.]
I am going to buy a cake for them. [F],Les voy a comprar un pastel. [Voy a comprarles un pastel.]
I am going to bring a cake for you. [informal],Te voy a traer un pastel. [Voy a traerte un pastel.]
I am going to prepare a cake for me.,Me voy a preparar un pastel. [Voy a prepararme un pastel.]
I am going to save a cake for us.,Nos voy a guardar un pastel. [Voy a guardarnos un pastel.]
I am going to buy a cake for you all.,Les voy a comprar un pastel. [Voy a comprarles un pastel.]
I am going to bring a cake for us.,Nos voy a traer un pastel. [Voy a traernos un pastel.]
I am going to prepare a cake for him.,Le voy a preparar un pastel. [Voy a prepararle un pastel.]
I am going to save a cake for her.,Le voy a guardar un pastel. [Voy a guardarle un pastel.]
I am going to buy a cake for them.,Les voy a comprar un pastel. [Voy a comprarles un pastel.]
I am going to bring a cake for her.,Le voy a traer un pastel. [Voy a traerle un pastel.]
I am going to prepare a cake for you. [informal],Te voy a preparar un pastel. [Voy a prepararte un pastel.]
I am going to save a cake for me.,Me voy a guardar un pastel. [Voy a guardarme un pastel.]
