"id";"word";"answer"
"1";"Title: The Quiet House";"La Casa Tranquila"
"2";"I absorb the calm of the morning.";"Absorbo la calma de la mañana."
"3";"You learn a new recipe from your aunt.";"Aprendes una receta nueva de tu tía."
"4";"We sweep the living room together.";"Barremos la sala juntos."
"5";"They drink coffee on the patio.";"Ellos beben café en el patio."
"6";"She eats fruit while she reads.";"Ella come fruta mientras lee."
"7";"He commits to cleaning the garage today.";"Él se compromete a limpiar el garaje hoy."
"8";"I understand why everyone likes this house.";"Comprendo por qué a todos les gusta esta casa."
"9";"Kids run around the backyard.";"Los niños corren por el patio trasero."
"10";"The colors of the walls correspond to the old style.";"Los colores de las paredes corresponden al estilo antiguo."
"11";"Later we are going to sew a small curtain for the kitchen.";"Más tarde vamos a coser una cortinita para la cocina."
