"id";"word";"answer"
"1";"Title: The Busy Kitchen";"La Cocina Ocupada"
"2";"I look at the recipe on my phone.";"Miro la receta en mi teléfono."
"3";"You show me where the spices are.";"Me muestras dónde están las especias."
"4";"We need more tomatoes for the soup.";"Necesitamos más tomates para la sopa."
"5";"She forgets the salt every time.";"Ella olvida la sal cada vez."
"6";"They pay for fresh bread at the bakery.";"Ellos pagan por pan fresco en la panadería."
"7";"He practices cutting vegetables safely.";"Él practica cortar verduras con cuidado."
"8";"I ask a question about the cooking time.";"Pregunto sobre el tiempo de cocción."
"9";"We prepare the table before everyone arrives.";"Preparamos la mesa antes de que todos lleguen."
"10";"Only one bowl remains clean.";"Solo queda un tazón limpio."
"11";"Later we are going to remember to wash everything sooner.";"Más tarde vamos a recordar lavar todo más temprano."
