"id","word","answer"
"1","to open","abrir"
"2","to learn","aprender"
"3","to eat","comer"
"4","to know, meet [first time]","conocer"
"5","to get, obtain","conseguir"
"6","to run, flow","correr"
"7","to believe","creer"
"8","to decide","decider"
"9","to say, tell","decir"
"10","to sleep","dormir"
"11","to understand","entender"
"12","to write","escribir"
"13","to do, make","hacer"
"14","to go","ir"
"15","to read","leer"
"16","to move [something]","mover"
"17","to hear","oír"
"18","to ask for","pedir"
"19","to lose","perder"
"20","to put","poner"
"21","to receive","recibir"
"22","to know [information]","saber"
"23","to leave, go out","salir"
"24","to follow","seguir"
"25","to be [permanent]","ser"
"26","to go up, get into [a vehicle]","subir"
"27","to bring","traer"
"28","to sell","vender"
"29","to see, watch","ver"
"30","to come","venir"
"31","to live","vivir"
"32","to return","volver"
