"id","word","answer"
"1","to consider {-ar}","considerar"
"2","to try, treat, deal with {-ar}","tratar"
"3","to look, watch {-ar}","mirar"
"4","to look for {-ar}","buscar"
"5","to change {-ar}","cambiar"
"6","to pass, spend time {-ar}","pasar"
"7","to enter {-ar}","entrar"
"8","to wait, to hope for, expect {-ar}","esperar"
"9","to need {-ar}","necesitar"
"10","to ask [a question] {-ar}","preguntar"
"11","to listen to {-ar}","escuchar"
"12","to travel {-ar}","viajar"
"13","to finish, to end {-ar}","terminar"
"14","to study {-ar}","estudiar"
"15","to prepare {-ar}","preparar"
"16","to introduce, present {-ar}","presentar"
"17","to live {-ir}","vivir"
"18","to eat {-er}","comer"
"19","to learn {-er}","aprender"
"20","to write {-ir}","escribir"
"21","to respond {-er}","responder"
"22","to understand {-er}","comprender"
"23","to want, desire, wish for {-ar}","desear"
"24","to sell {-er}","vender"
"25","to receive {-ir}","recibir"
"26","to allow, permit {-ir}","permitir"
"27","to suffer, undergo {-ir}","sufrir"
"28","to share {-ir}","compartir"
"29","to exist {-ir}","existir"
"30","to consist of {-ir}","consistir"
"31","to insist on {-ir}","insistir"
"32","to attend {-ir}","asistir"
"33","to resist, endure {-ir}","resistir"
"34","to fulfill {-ir}","cumplir"
"35","to mention, cite {-ar}","mencionar"
"36","to inform {-ar}","informar"
"37","to explain {-ar}","explicar"
"38","to result, turn out {-ar}","resultar"
"39","to determine, decide {-ar}","determinar"
"40","to develop {-ar}","desarrollar"
"41","to create {-ar}","crear"
"42","to decide {-ir}","decidir"
"43","to relate {-ar}","relacionar"
"44","to use, utilize {-ar}","utilizar"
"45","to use {-ar}","usar"
"46","to form {-ar}","formar"
"47","to work, function {-ar}","funcionar"
"48","to work {-ar}","trabajar"
"49","to take, carry {-ar}","llevar"
"50","to arrive {-ar}","llegar"
"51","to call, name {-ar}","llamar"
"52","to take, drink {-ar}","tomar"
"53","to accept {-ar}","aceptar"
"54","to clarify, clear up {-ar}","aclarar"
"55","to accompany {-ar}","acompañar"
"56","to advise, counsel {-ar}","aconsejar"
"57","to accumulate, amass {-ar}","acumular"
"58","to accuse {-ar}","acusar"
"59","to adapt {-ar}","adaptar"
"60","to move forward {-ar}","adelantar"
"61","to guess, solve {-ar}","adivinar"
"62","to administer, manage {-ar}","administrar"
"63","to admire {-ar}","admirar"
"64","to admit {-ir}","admitir"
"65","to adopt {-ar}","adoptar"
"66","to worship, adore {-ar}","adorar"
"67","to adorn, to decorate {-ar}","adornar"
"68","to affect {-ar}","afectar"
"69","to assert, affirm {-ar}","afirmar"
"70","to face, confront {-ar}","afrontar"
"71","to grasp, catch {-ar}","agarrar"
"72","to exhaust, wear out, run out {-ar}","agotar"
"73","to please {-ar}","agradar"
"74","to add, gather {-ar}","agregar"
"75","to [put in] group {-ar}","agrupar"
"76","to endure, put up with {-ar}","aguantar"
"77","to wait for, await {-ar}","aguardar"
"78","to drown, choke, flood {-ar}","ahogar"
"79","to save (money, time) {-ar}","ahorrar"
"80","to isolate, insulate {-ar}","aislar"
"81","to adjust, tighten {-ar}","ajustar"
"82","to alarm {-ar}","alarmar"
"83","to lodge, harbor {-ar}","albergar"
"84","to reach, catch up with {-ar}","alcanzar"
"85","to plead, argue {-ar}","alegar"
"86","to be/make happy {-ar}","alegrar"
"87","to move away {-ar}","alejar"
"88","to alert, warn {-ar}","alertar"
"89","to feed, support {-ar}","alimentar"
"90","to lighten, relieve, comfort {-ar}","aliviar"
"91","to store, keep {-ar}","almacenar"
"92","to host, accommodate {-ar}","alojar"
"93","to rent, hire {-ar}","alquilar"
"94","to alter, modify {-ar}","alterar"
"95","to alternate {-ar}","alternar"
"96","to allude to {-ir}","aludir"
"97","to life, raise {-ar}","alzar"
"98","to tie, fasten {-ar}","amarrar"
"99","to threaten {-ar}","amenazar"
"100","to gather, accumulate {-ar}","amontonar"
"101","to protect, shelter {-ar}","amparar"
