a friend,"un amigo, una amiga"
the letter,la carta
the car,el coche
the bathroom,el baño
the money,el dinero
water,agua
beer,la cerveza
fría,cold
a gift,un regalo
a bank,un banco
a souvenir,un recuerdo
the door,la puerta
the guitar,la guitarra
the music,la música
a song,una canción
the question,la pregunta
the cake,el pastel
the husband,el esposo
the wife,la esposa
la niña,the girl
the dishes,las trastes
the park,el parque
the office,la oficina
downtown,el centro
the class,la clase
the market,el mercado
the store,la tienda
the teacher,el maestro
the package,el paquete
an apartment,un departamento
the program,el programa
the jacket,la chamarra [chaqueta]
the fruit,la fruta
the book,el libro
the key,la llave
a computer,una computadora
the statue,la estatua
the doorbell,el timbre
the watch,el reloj
the window,la ventana
the trash,la basura
the bag,la bolsa
a restaurant,un restaurante
the kitchen,la cocina
hot-spicy,picante
the number,el numero
the candies,los dulces
the flowerpot,la maceta
the film,la película
"the history, story",la historia
the table,la mesa
the chairs,las sillas
the stairs,las escaleras
the shoes,los zapatos
the contract,el contrato
the boys,los muchachos
"the room, bedroom",el cuarto
the hotel room,la habitación
the bedroom [specifically],la recámara
the meat,la carne
everything,todo
the exercises,los ejercicios
the movie theater,el cine
the sport,el deporte
the instrument,el instrumento
the cream,la crema
the sugar,el azúcar
things,cosas
underneath,abajo de
Monday through Friday,de lunes a viernes
the clothes,la ropa
the newspaper,el periódico
the lesson,la lección
the change,el cambio
the heat,el calor
a telephone,un teléfono
a cellphone,un celular
the years,los años
the hunger,el hambre
hurry,prisa
the tickets,los boletos
thirst,sed
fear,miedo
time,tiempo
"sleepiness, dream",sueño
messages,los mensajes
voice messages [or written notes],los recados
the calls,las llamadas
the people,la gente
the students,los estudiantes
the instructions,las instrucciones
a reservation,una reservación
the onions,las cebollas
the train,el tren
the flowers,las flores
the dollars,los dólares
the pages,las páginas
