"id","word","answer"
"1","open","abierto"
"2","oil","aceite"
"3","sour","ácido"
"4","adapter","adaptador"
"5","sold out","agotado"
"6","avocado","aguacate"
"7","garlic","ajo"
"8","cotton","algodón"
"9","pain reliever","analgésico"
"10","rice","arroz"
"11","artisan [female]","artesana"
"12","crafts","artesanías"
"13","artisan","artesano"
"14","real / authentic [feminine]","auténtica"
"15","real / authentic","auténtico"
"16","to help","ayudar  "
"17","sugar","azúcar"
"18","low-sugar [feminine]","baja en azúcar"
"19","low-sugar","bajo en azúcar"
"20","cheap [feminine]","barata"
"21","cheap","barato"
"22","clay","barro"
"23","scale","báscula"
"24","bag","bolsa"
"25","purse / handbag","bolsa"
"26","shopping bag","bolsa de compras"
"27","embroidery","bordado"
"28","bottle","botella"
"29","water bottle","botella de agua"
"30","peanuts","cacahuates"
"31","coffee","café"
"32","box","caja"
"33","cash register","caja"
"34","checkout","caja"
"35","cashier [female]","cajera"
"36","cashier","cajero"
"37","change","cambio"
"38","exchange","cambio"
"39","shirt","camisa"
"40","basket","canasta"
"41","basket","canasta"
"42","expensive [feminine]","cara"
"43","phone charger","cargador de celular"
"44","butcher shop","carnicería"
"45","expensive","caro"
"46","cart","carrito"
"47","wallet","cartera"
"48","onion","cebolla"
"49","ceramic","cerámica"
"50","closed","cerrado"
"51","mushrooms","champiñones"
"52","chile pepper","chile"
"53","cilantro","cilantro"
"54","belt","cinturón"
"55","customer","cliente"
"56","barcode","código de barras"
"57","color","color"
"58","to buy","comprar"
"59","cost","costo"
"60","quarter kilo","cuarto de kilo"
"61","sale / discount","descuento"
"62","return","devolución"
"63","available","disponible"
"64","dozen","docena"
"65","owner","dueño "
"66","sweet","dulce"
"67","cash","efectivo"
"68","that one","ese  "
"69","those","esos  "
"70","this one","este  "
"71","these","estos  "
"72","label","etiqueta"
"73","pharmacy","farmacia"
"74","expiration date","fecha de caducidad"
"75","line / queue","fila"
"76","fragile","frágil"
"77","jar","frasco"
"78","fresh [feminine]","fresca"
"79","fresh","fresco"
"80","beans","frijoles"
"81","fruit","fruta"
"82","fruit shop","frutería"
"83","warranty","garantía"
"84","hat","gorra"
"85","gram","gramo"
"86","large","grande  "
"87","handmade [feminine]","hecha a mano"
"88","handmade","hecho a mano"
"89","eggs","huevos"
"90","soap","jabón"
"91","tomato","jitomate"
"92","together","juntos  "
"93","kilo","kilo"
"94","wool","lana"
"95","can","lata"
"96","milk","leche"
"97","lettuce","lechuga"
"98","sunglasses","lentes de sol"
"99","lightweight [feminine]","ligera"
"100","lightweight","ligero"
"101","lime","limón"
"102","lemon","limón amarillo"
"103","liter","litro"
"104","keychain","llavero"
"105","local","local"
"106","wood","madera"
"107","ripe [feminine]","madura"
"108","ripe","maduro"
"109","corn","maíz"
"110","apple","manzana"
"111","map","mapa"
"112","brand","marca"
"113","larger","más grande  "
"114","smaller","más pequeño  "
"115","material","material"
"116","half dozen","media docena"
"117","medicine","medicina"
"118","size / measurement","medida"
"119","half kilo","medio kilo"
"120","market","mercado"
"121","handicraft market","mercado de artesanías"
"122","food market","mercado de comida"
"123","backpack","mochila"
"124","counter","mostrador"
"125","orange","naranja"
"126","no","no  "
"127","nuts","nueces"
"128","new [feminine]","nueva"
"129","new","nuevo"
"130","offer / deal","oferta"
"131","organic [feminine]","orgánica"
"132","organic","orgánico"
"133","gold","oro"
"134","bread","pan"
"135","bakery","panadería"
"136","pants","pantalones"
"137","paper","papel"
"138","toilet paper","papel de baño"
"139","package","paquete"
"140","umbrella","paraguas"
"141","toothpaste","pasta de dientes"
"142","small","pequeño  "
"143","heavy [feminine]","pesada"
"144","heavy","pesado"
"145","weight","peso"
"146","spicy","picante"
"147","leather","piel"
"148","piece","pieza"
"149","batteries","pilas"
"150","pepper","pimienta"
"151","painting","pintura"
"152","plastic","plástico"
"153","silver","plata"
"154","banana","plátano"
"155","please","por favor  "
"156","price","precio"
"157","sunscreen","protector solar"
"158","stand / stall","puesto"
"159","market stall","puesto  "
"160","cheese","queso"
"161","receipt","recibo"
"162","souvenir","recuerdo"
"163","gift","regalo"
"164","repellent","repelente"
"165","salt","sal"
"166","salty [feminine]","salada"
"167","salty","salado"
"168","sandals","sandalias"
"169","seeds","semillas"
"170","napkins","servilletas"
"171","shampoo","shampoo"
"172","yes","sí  "
"173","sugar-free","sin azúcar"
"174","gluten-free","sin gluten"
"175","hat","sombrero"
"176","supermarket","supermercado"
"177","size","talla"
"178","credit card","tarjeta de crédito  "
"179","tea","té"
"180","fabric / cloth","tela"
"181","to have","tener  "
"182","street market","tianguis"
"183","store","tienda "
"184","grocery store","tienda de abarrotes"
"185","convenience store","tienda de conveniencia"
"186","paper towels","toallas de papel"
"187","tortillas","tortillas"
"188","tortilla shop","tortillería"
"189","total","total"
"190","employee/worker","trabajador "
"191","unit / each","unidad"
"192","used [feminine]","usada"
"193","used","usado"
"194","vegan [feminine]","vegana"
"195","vegan","vegano"
"196","vegetarian [feminine]","vegetariana"
"197","vegetarian","vegetariano"
"198","seller / vendor","vendedor"
"199","seller / vendor [female]","vendedora"
"200","green / unripe","verde"
"201","vegetables","verduras"
"202","dress","vestido"
"203","glass","vidrio"
"204","vinegar","vinagre"
"205","yogurt","yogur"
"206","shoes","zapatos"
