"id";"word";"answer"
"1";"Title: Morning At The Cultural Center";"Mañana En El Centro Cultural"
"2";"I am going to be born in a story we write today.";"Voy a nacer en una historia que escribimos hoy."
"3";"You force the lid open carefully. [sing, inf]";"Obligas la tapa con cuidado."
"4";"We occupy the main room for the workshop.";"Ocupamos el salón principal para el taller."
"5";"They solve a small issue with the projector.";"Resuelven un pequeño problema con el proyector."
"6";"I forget my notebook on the table.";"Olvido mi cuaderno en la mesa."
"7";"You are going to organize the materials soon. [pl]";"Van a organizar los materiales pronto."
"8";"We order the chairs in a circle.";"Ordenamos las sillas en un círculo."
"9";"They participate with good energy.";"Participan con buena energía."
"10";"You start the activity with a short story. [sing, formal]";"Parte la actividad con un cuento corto."
"11";"We are going to remove the extra chairs later.";"Vamos a quitar las sillas extra más tarde."
"12";"They reflect the theme of the day in their drawings.";"Reflejan el tema del día en sus dibujos."
"13";"I register the new participants.";"Registro a los nuevos participantes."
"14";"You retrieve the markers from the cabinet. [sing, inf]";"Recuperas los marcadores del gabinete."
"15";"We return to the main table to continue.";"Regresamos a la mesa principal para continuar."
"16";"They are going to relate their ideas to the theme.";"Van a relacionar sus ideas con el tema."
"17";"You represent the group with your presentation. [pl]";"Representan al grupo con su presentación."
"18";"I concern myself with keeping the space calm.";"Me preocupo por mantener el espacio tranquilo."
"19";"We pretend to travel through different worlds.";"Pretendemos viajar por diferentes mundos."
"20";"They publish their drawings on the wall.";"Publican sus dibujos en la pared."
"21";"You are going to tour the center after class. [sing, formal]";"Va a recorrer el centro después de la clase."
"22";"I make a small summary of the activity.";"Realizo un pequeño resumen de la actividad."
"23";"We link our ideas to create a final story.";"Relacionamos nuestras ideas para crear una historia final."
"24";"They stop for a moment to rest.";"Paran un momento para descansar."
"25";"You pay attention to every detail. [sing, inf]";"Pagas atención a cada detalle."
"26";"We are going to determine the winner soon.";"Vamos a determinar al ganador pronto."
