"id","word","answer"
"1","Those trees are cherry trees.","Aquellos árboles son cerezos."
"2","I think those are our plates.","Creo que esos son nuestros platos."
"3","We must take urgent action.","Debemos tomar una medida urgente."
"4","I must concentrate on studying.","Debo concentrarme en el estudio."
"5","Real knowledge is based on data.","El conocimiento real se basa en los datos."
"6","Spanish is not that difficult.","El español no es tan difícil."
"7","That kid sings very well.","Ese niño canta muy bien."
"8","That tree is very tall.","Ese árbol es muy alto."
"9","This is an awkward situation.","Esta es una situación incómoda."
"10","We are near the river.","Estamos cerca del río."
"11","This is a special moment.","Este es un momento especial."
"12","This landscape gives me a lot of peace.","Este paisaje me da mucha paz."
"13","This sector of the city is very quiet.","Este sector de la ciudad es muy tranquilo."
"14","There are several means of transport.","Hay muchos medios de transporte."
"15","There is a service area less than a kilometer away.","Hay un área de servicios a menos de un kilómetro."
"16","Communication is the basis of a good relationship.","La comunicación es la base de una buena relación."
"17","Education is essential for development.","La educación es fundamental para el desarrollo."
"18","Freedom is a human right.","La libertad es un derecho humano."
"19","Population is decreasing.","La población está disminuyendo."
"20","The current situation is not dangerous.","La situación actual no es peligrosa."
"21","I really like pre,Columbian art.","Me gusta mucho el arte precolombino."
"22","I like to watch the movement of the waves.","Me gusta observar el movimiento de las olas."
"23","My boyfriend is in the military.","Mi novio es militar."
"24","My ambitions are different from yours.","Mis ambiciones son diferentes de las tuyas."
"25","My parents should travel more.","Mis padres deben viajar más."
"26","I need a piece of paper and a pencil.","Necesito un papel y un lápiz."
"27","Oscar and Lucila are very social.","Oscar y Lucila son muy sociales."
"28","I only have ten days of vacation.","Solo tengo diez días de vacaciones."
"29","I am Manuela Díaz, I have a reservation.","Soy Manuela Díaz, tengo una reserva."
"30","I’m in control.","Tengo el control."
"31","I have a brilliant idea.","Tengo una idea brillante."
"32","Your face is red.","Tu cara está roja."
"33","Your mother is very young.","Tu madre es muy joven."
"34","Look at my new shoes!","¡Mira mis zapatos nuevos!"
"35","Do you know the address of the hotel?","¿Conoces la dirección del hotel?"
"36","How old are you?","¿Cuál es tu edad?"
"37","Can you give me half an apple?","¿Me das media manzana?"
"38","My parents? Both of them are dentists?","¿Mis padres? Ambos son dentistas?"
"39","Do you want to go fishing with me?","¿Quieres ir a pescar conmigo?"
