"id";"word";"answer"
"1";"Title: The Library Morning";"La Mañana en la Biblioteca"
"2";"The librarian answers every question with a smile.";"La bibliotecaria responde cada pregunta con una sonrisa."
"3";"Students rest in the reading area.";"Los estudiantes descansan en el área de lectura."
"4";"A boy draws superheroes in the corner.";"Un niño dibuja superhéroes en la esquina."
"5";"The day begins quietly, like always.";"El día empieza en silencio, como siempre."
"6";"Visitors enter one by one.";"Los visitantes entran uno por uno."
"7";"We send a request for a new book.";"Mandamos una solicitud para un libro nuevo."
"8";"Everyone listens to the soft sound of pages turning.";"Todos escuchan el sonido suave de las páginas al voltearse."
"9";"I wait for my coffee to cool down.";"Espero a que mi café se enfríe."
"10";"They study for their exams near the back wall.";"Ellos estudian para sus exámenes cerca de la pared del fondo."
"11";"The librarian explains how to find old magazines.";"La bibliotecaria explica cómo encontrar revistas viejas."
