word,answer
agreeable,agradable
angry,enojado
beautiful,hermoso
big,grande
"delicious (exceptional, indulgent)",delicioso
"tasty (most common, flavorful)",sabroso
difficult,difícil
easy,fácil
excellent,excelente
expensive,caro
fantastic,fantástico
fat,gordo
fragile,frágil
good,bueno
great,estupendo
handsome,guapo
"happy (in a good mood, right now)",alegre
"happy (internal, lasting)",feliz
horrible,horrible
inexpensive,barato
intelligent,inteligente
interesting,interesante
little,pequeño
nice,simpático
old,viejo
poor,pobre
pretty,bonito
rich,rico
sad,triste
sick,enfermo
sincere,sincero
stingy,tacaño
strong,fuerte
thin,flaco
tired,cansado
typical,típico
weak,débil
young,joven
