to shave,afeitar
to grab / pick up,agarrar
to hurry,apurarse
to throw / toss,aventar
to brush,cepillar
to cross,cruzar
to fold (clothes) / bend,doblar
to push,empujar
to turn in / submit,entregar
to stretch,estirar
to dial,marcar
to park,parquear
to participate,participar
to scratch,rascar
to ring / sound,sonar
to toast (bread),tostar
to turn around,voltear
to accept,aceptar
to accompany,acompañar
to admire,admirar
to point / aim / write down,apuntar
to assure / insure,asegurar
to charge / collect (money),cobrar
to take care of,cuidar
to have breakfast,desayunar
to have dinner / supper,cenar
to enjoy,disfrutar
to pack,empacar
to sign,firmar
to smoke,fumar
to spend (money),gastar
to keep / put away / save,guardar
to drive,manejar
to improve,mejorar
to go for a walk / stroll,pasear
to fish,pescar
to paint,pintar
to remove / take away,quitar
to check / review,revisar
to steal / rob,robar
to take out / remove,sacar
to put up with / tolerate,soportar
to cry,llorar
to joke / kid around,bromear
to chat / talk,charlar
to move forward / overtake,adelantar
to delay / set back,atrasar
to congratulate,felicitar
to imagine,imaginar
