"id","word","answer"
"1","yesterday","ayer"
"2","today","hoy"
"3","tomorrow","mañana"
"4","day after tomorrow","pasado mañana"
"5","tomorrow morning","mañana por [en] la mañana"
"6","this morning","esta mañana"
"7","this afternoon","esta tarde"
"8","this evening, tonight","esta noche"
"9","this week","esta semana"
"10","this month","este mes"
"11","this year","este año"
"12","this monday","este lunes"
"13","this weekend","este fin de semana"
"14","this summer","este verano"
"15","an hour","una hora"
"16","each day","cada día"
"17","each morning","cada mañana"
"18","each afternoon","cada tarde"
"19","each night","cada noche"
"20","each week","cada semana"
"21","early","temprano"
"22","on time","a tiempo"
"23","late","tarde"
"24","later","más tarde"
"25","before","antes (de)"
"26","during","durante"
"27","after","después (de)"
"28","already, this instant","ya"
"29","now","ahora"
"30","right away","ahorita"
"31","as soon as possible","cuanto antes"
"32","soon","pronto"
"33","no longer","ya no"
"34","breakfast","el desayuno"
"35","lunch","la comida"
"36","dinner","la cena"
"37","next week","la próxima semana"
"38","next month","el próximo mes"
"39","next year","el próximo año"
"40","next monday","el próximo lunes"
"41","next summer","el próximo verano"
"42","tomorrow afternoon","mañana por [en] la tarde"
"43","tomorrow evening","mañana por [en] la noche"
"44","never","nunca"
"45","once","una vez"
"46","again","otra vez"
"47","frequently","frecuentemente"
"48","always","siempre"
"49","many times","muchas veces"
"50","sometimes","a veces"
"51","not yet","todavía no"
"52","still","todavía"
"53","entonces","then"
"54","once in a while","de vez en cuando"
"55","what","qué"
"56","when","cuándo"
"57","where","dónde"
"58","to where","adónde"
"59","how","cómo"
"60","who","quién"
"61","to whom","a quién"
"62","why","por qué"
"63","how much","cuánto"
"64","which","cuál"
"65","and","y"
"66","with","con"
"67","of, from, about","de"
"68","in, on, at","en"
"69","on, about","sobre"
"70","[in exchange] for, by, through","por"
"71","[intended] for, in order to","para"
"72","a little","un poco"
"73","a little of","un poco de"
"74","enough","suficiente"
"75","to much","demasiado"
"76","this","este, esta"
"77","these","estos, estas"
"78","that","ese, esa"
"79","those","esos, esas"
"80","that over there","aquel, aquella"
"81","those over there","aquellos, aquellas"
"82","here","aquí"
"83","there","allí"
"84","over there","allá"
"85","over here","acá"
"86","more","mas"
"87","less","menos"
"88","all","todo, toda"
"89","nothing","nada"
"90","no one","nadie"
"91","almost","casi"
"92","my","mi, mis"
"93","your [fam]","tu, tus"
"94","your [for] [his, her, their]","su, sus"
"95","our","nuestro [a], nuestros [as]"
"96","with me","conmigo"
"97","with you [for]","con usted"
"98","with you [fam]","contigo"
"99","with him","con él"
"100","with her","con ella"
"101","with us","con nosotros"
"102","with them","con ellos [as]"
"103","with you all","con ustedes"
