"id","word","answer"
"1","Sometimes my mother takes me to work.","A veces, mi madre me lleva al trabajo."
"2","Since the land is low, there are many floods.","Como la tierra es baja, hay muchas inundaciones."
"3","We must remain silent.","Debemos permanecer en silencio."
"4","You must know the facts before commenting.","Debes conocer los hechos antes de opinar."
"5","You have to turn right.","Debes girar a la derecha."
"6","You must put your passport in a safe place.","Debes poner tu pasaporte en un lugar seguro."
"7","I left the keys on the table.","Dejé las llaves encima de la mesa."
"8","The growth of the population is very fast.","El crecimiento de la población es muy rápido."
"9","The menu comes with a drink.","El menú viene con bebida."
"10","She is the only person I trust.","Ella es la única persona en la que confío."
"11","In this hostel there is a very friendly atmosphere.","En este hostel hay un ambiente muy amistoso."
"12","This neighborhood is very safe.","Este barrio es muy seguro."
"13","This is an economic problem, not a political one.","Este es un problema económico, no político."
"14","These are my friends.","Estos son mis amigos."
"15","I’m pretty tired.","Estoy bastante cansado."
"16","There is a very beautiful city in the north.","Hay una ciudad muy bella en el norte."
"17","There are several ways to get to the museum.","Hay varias formas de llegar al museo."
"18","Participation in class is important.","La participación en clase es importante."
"19","These two are the main streets.","Las calles principales son estas dos."
"20","State policies must improve the life quality of the citizens.","Las políticas de Estado deben mejorar la calidad de vida de los ciudadanos."
"21","Marta does not see the problem; she sees the solution.","Marta no ve el problema; ve la solución."
"22","Matías is the author of the book.","Matías es el autor del libro."
"23","I like to listen to the radio.","Me gusta escuchar la radio."
"24","I like reading the newspaper every morning.","Me gusta leer el diario todas las mañanas."
"25","I feel bad, I need company.","Me siento mal, necesito compañía."
"26","My goal is to learn Spanish.","Mi objetivo es aprender español."
"27","My father is very old.","Mi padre es muy viejo."
"28","My cousin needs medical treatment.","Mi primo necesita tratamiento médico."
"29","My work allows me to travel a lot.","Mi trabajo me permite viajar mucho."
"30","I need help to flip the omelette.","Necesito ayuda para voltear la tortilla."
"31","There are no reasons to do something so crazy.","No existen razones para hacer algo tan disparatado."
"32","There is no key to success.","No hay una clave para el éxito."
"33","I do not know what to think.","No sé qué pensar."
"34","I want to hear your opinion.","Quiero oír tu opinión."
"35","I want to take a picture.","Quiero tomar una foto."
"36","If you come to my city, I can let you stay at my house.","Si vienes a mi ciudad, puedo alojarte en mi casa."
"37","We always have the same problems.","Siempre tenemos los mismos problemas."
"38","These are hard times.","Son tiempos difíciles."
"39","I have only a few socks.","Tengo solo unos pocos calcetines."
"40","I have a friend who lives in Barcelona.","Tengo un amigo que vive en Barcelona."
"41","I have a position of great responsibility.","Tengo un cargo de mucha responsabilidad."
"42","I have a work meeting in five minutes.","Tengo una reunión de trabajo en cinco minutos."
"43","Your tent is very large.","Tu tienda de campaña es muy grande."
"44","Your pancakes are very good.","Tus panqueques son muy buenos."
"45","What is the origin of this myth?","¿Cuál es el origen de este mito?"
"46","Can you draw a straight line?","¿Puedes dibujar una línea recta?"
"47","What are you doing?","¿Qué estás haciendo?"
"48","Do you know the names of body parts in Spanish?","¿Sabes los nombres de las partes del cuerpo en español?"
"49","Have you injured your foot?","¿Tienes el pie herido?"
