"Title: Evening At Home";"Tarde En Casa"
"I speak with my sister in the kitchen."; "Hablo con mi hermana en la cocina."
"You take a cold drink from the fridge. [sing, inf]"; "Tomas una bebida fría del refri."
"We work together to prepare dinner."; "Trabajamos juntos para preparar la cena."
"They eat early because they are hungry."; "Ellos comen temprano porque tienen hambre."
"I live with my family in this house."; "Vivo con mi familia en esta casa."
"She takes the plates to the table."; "Ella lleva los platos a la mesa."
"He arrives tired after a long day."; "Él llega cansado después de un día largo."
"You call your mom to ask about the recipe. [sing, inf]"; "Llamas a tu mamá para preguntar por la receta."
"We listen to soft music while cooking."; "Escuchamos música suave mientras cocinamos."
"They see the food getting ready."; "Miran la comida que ya se está preparando."
"I buy tortillas from the corner store."; "Compro tortillas de la tiendita de la esquina."
"You search for the salt in the cabinet. [sing, inf]"; "Buscas la sal en el gabinete."
"We need more onions for the salsa."; "Necesitamos más cebolla para la salsa."
"He asks if dinner is almost ready."; "Él pregunta si la cena ya casi está lista."
"They wait patiently at the table."; "Ellos esperan pacientemente en la mesa."
"She changes the music to something calm."; "Ella cambia la música a algo tranquilo."
"We walk to the patio after dinner."; "Caminamos al patio después de cenar."
"I pass by the living room to grab a book."; "Paso por la sala para agarrar un libro."
"You enter the kitchen to wash dishes. [sing, inf]"; "Entras a la cocina para lavar los trastes."
"I must finish some work tonight."; "Debo terminar un poco de trabajo esta noche."
"They believe the evening feels peaceful."; "Ellos creen que la tarde se siente tranquila."
"We learn new recipes every week."; "Aprendemos recetas nuevas cada semana."
"She writes her favorite ones in a notebook."; "Ella escribe sus favoritas en un cuaderno."
"You travel to visit your parents often. [sing, inf]"; "Viajas seguido para visitar a tus papás."
"We help clean the kitchen together."; "Ayudamos a limpiar la cocina juntos."
"I am going to read on the patio later."; "Voy a leer en el patio más tarde."
"They are going to watch a movie soon."; "Ellos van a ver una película pronto."
"We are going to sleep early tonight."; "Vamos a dormir temprano esta noche."
