"id";"word";"answer"
"1";"Title: The Rainy Afternoon";"La Tarde Lluviosa"
"2";"I open my umbrella as the rain starts.";"Abro mi paraguas cuando empieza la lluvia."
"3";"She admits she forgot her jacket.";"Ella admite que olvidó su chamarra."
"4";"We attend a small workshop inside the library.";"Asistimos a un tallercito dentro de la biblioteca."
"5";"They share their pencils with us.";"Ellos comparten sus lápices con nosotros."
"6";"You cover your backpack with a plastic bag.";"Cubres tu mochila con una bolsa de plástico."
"7";"He turns sixteen today.";"Él cumple dieciséis hoy."
"8";"I decide to stay until the rain stops.";"Decido quedarme hasta que pare la lluvia."
"9";"We describe the sound of the storm.";"Describimos el sonido de la tormenta."
"10";"They discover a cozy reading corner.";"Ellos descubren un rincón acogedor para leer."
"11";"Later we are going to discuss which books to borrow.";"Más tarde vamos a discutir qué libros pedir prestados."
