"id";"word";"answer"
"1";"Hello, good afternoon.";"Hola, buenas tardes."
"2";"Good afternoon.";"Buenas tardes."
"3";"My name is David.";"Me llamo David."
"4";"Nice to meet you, David. I’m Carlos.";"Mucho gusto, David. Yo soy Carlos."
"5";"Nice to meet you.";"Mucho gusto."
"6";"Are you from here?";"¿Es de aquí?"
"7";"No, I’m visiting.";"No, estoy visitando."
"8";"Oh, nice. Do you like the area?";"Ah, qué bien. ¿Le gusta la zona?"
"9";"Yes, I like it a lot.";"Sí, me gusta mucho."
"10";"Good.";"Qué bueno."
"11";"Well, I have to go.";"Bueno, me tengo que ir."
"12";"Sure. It was nice meeting you.";"Claro. Fue un gusto conocerlo."
"13";"Same. Have a good day.";"Igualmente. Que tenga buen día."
