"id";"word";"answer"
"1";"Title: The Cliffside Rescue Attempt";"El Intento de Rescate en el Acantilado"
"2";"A risky climb begins along the ridge.";"Una escalada arriesgada empieza por la cresta."
"3";"A stable rope anchors the rescue team.";"Una cuerda estable ancla al equipo de rescate."
"4";"A complicated knot tightens under pressure.";"Un nudo complicado se aprieta bajo presión."
"5";"A unique echo rises from the canyon.";"Un eco único sube desde el cañón."
"6";"A strange wind pushes against the cliff.";"Un viento extraño empuja contra el acantilado."
"7";"We are going to secure the unstable ledge.";"Vamos a asegurar la cornisa inestable."
"8";"A balanced stance keeps me from slipping.";"Una postura equilibrada evita que me resbale."
"9";"A modern harness supports my careful descent.";"Un arnés moderno sostiene mi descenso cuidadoso."
"10";"A rare bird circles above the rocks.";"Un ave rara da vueltas sobre las rocas."
"11";"A typical crack forms under my boot.";"Una grieta típica se forma bajo mi bota."
"12";"A special flare signals the waiting crew.";"Una bengala especial señala al equipo que espera."
"13";"We are going to simplify the complex route.";"Vamos a simplificar la ruta compleja."
"14";"A basic tool measures the shifting ground.";"Una herramienta básica mide el suelo cambiante."
"15";"An old-fashioned radio crackles with static.";"Una radio anticuada chisporrotea con estática."
"16";"A common gust scatters loose gravel everywhere.";"Una ráfaga común dispersa grava suelta por todas partes."
"17";"A secure anchor holds firm in stone.";"Un ancla segura se mantiene firme en la piedra."
"18";"A traditional signal marks the safe path.";"Una señal tradicional marca el camino seguro."
"19";"We are going to avoid the unbalanced ridge.";"Vamos a evitar la cresta desequilibrada."
"20";"An advanced drone scans the lower slope.";"Un dron avanzado escanea la ladera inferior."
"21";"I am going to finish the careful descent.";"Voy a terminar el descenso cuidadoso."
