"id";"word";"answer"
"1";"Afterward, he goes down to the city and spends the morning in a pretty restaurant where he drinks one or two more coffees.";"Después, él baja a la ciudad y pasa la mañana en un restaurante bonito donde él toma uno o dos cafés más."
"2";"Laura's father rests in the house until ten o'clock.";"El padre de Laura descansa en la casa hasta las diez."
"3";"They speak Spanish well, but Laura and I do not speak much; we study in secondary school because we need to practice more.";"Ellos hablan bien el español, pero Laura y yo no hablamos mucho; estudiamos en la escuela secundaria porque necesitamos practicar más."
"4";"In the city where we live this summer, there is peace also, but I am not sure if there is peace in the rest of Mexico.";"En la ciudad donde vivimos este verano, hay paz también pero no estoy segura si hay paz en el resto de México."
"5";"At night, we return to the house and discuss the experiences of the day.";"En la noche, regresamos a la casa y discutimos las experiencias del día."
"6";"It is the year nineteen hundred sixty-three.";"Es el año mil novecientos sesenta y tres."
"7";"It is an era of peace in the United States.";"Es una época de paz en los Estados Unidos."
"8";"Guanajuato is located in the mountains and the dance class is difficult because it is hard to breathe in the mountains.";"Guanajuato está ubicada en las montañas y la clase de baile es difícil porque es trabajoso respirar en las montañas."
"9";"There are some beautiful plazas and many churches.";"Hay unas plazas hermosas y muchas iglesias."
"10";"The city is very beautiful, with narrow streets and houses of Spanish style.";"La ciudad es muy linda, con calles estrechas y casas del estilo español."
"11";"The mother cooks well and we eat a healthy meal.";"La madre cocina bien y comemos una comida saludable."
"12";"Laura's mother spends the day in the countryside because she studies ancient civilizations.";"La madre de Laura pasa el día en el campo porque estudia las civilizaciones antiguas."
"13";"The music classes are fantastic because we speak and practice pronunciation.";"Las clases de música son fantásticas porque hablamos y practicamos la pronunciación."
"14";"Laura and I walk thirty minutes and arrive at school at ten o'clock in the morning.";"Laura y yo caminamos treinta minutos y llegamos a la escuela a las diez de la mañana."
"15";"Laura and I decide to take a course in the history of Mexico, a dance class, a class where the students learn Mexican songs and learn to play the guitar.";"Laura y yo decidimos tomar un curso de historia de México, una clase de baile, una clase donde los estudiantes aprenden canciones mexicanas y aprenden a tocar la guitarra."
"16";"Laura and I wash the dishes and the father listens to the conversation and rests.";"Laura y yo lavamos los platos y el padre escucha la conversación y descansa."
"17";"He reads a newspaper and talks with people.";"Lee un periódico y habla con la gente."
"18";"We live in the mountains and we are three miles from the city.";"Vivimos en las montañas y estamos a tres millas de la ciudad."
