"id";"word";"answer"
"1";"Title: The Market Surprise";"La Sorpresa del Mercado"
"2";"Vendors protect their fruit from the sun.";"Los vendedores protegen su fruta del sol."
"3";"We respond when someone asks for prices.";"Respondemos cuando alguien pregunta los precios."
"4";"I go back to the first stand to compare.";"Retrocedo al primer puesto para comparar."
"5";"They break open a coconut to show the inside.";"Ellos rompen un coco para mostrar el interior."
"6";"You surprise me with a fresh drink.";"Me sorprendes con una bebida fresca."
"7";"Many things happen at the market every day.";"Muchas cosas suceden en el mercado cada día."
"8";"She suspends her shopping to take a call.";"Ella suspende sus compras para tomar una llamada."
"9";"He fears losing his wallet in the crowd.";"Él teme perder su cartera entre la gente."
"10";"I cough a little from the smoke of a grill.";"Toso un poco por el humo de una parrilla."
"11";"Tomorrow they are going to sell new handmade baskets.";"Mañana van a vender canastas hechas a mano."
