"id";"word";"answer"
"1";"Title: Morning At The Small Market";"Mañana En El Mercado Pequeño"
"2";"I arrive early to a good morning.";"Llego temprano a una mañana buena."
"3";"The bad weather from yesterday is gone.";"El clima malo de ayer ya se fue."
"4";"The big market opens slowly around me.";"El mercado grande se abre lentamente a mi alrededor."
"5";"I am going to buy small fruit first.";"Voy a comprar fruta pequeña primero."
"6";"The long line forms as more people arrive.";"La fila larga se forma mientras llega más gente."
"7";"The short wait feels calm with soft music.";"La espera corta se siente tranquila con música suave."
"8";"A tall vendor greets me with a smile.";"Un vendedor alto me saluda con una sonrisa."
"9";"We are going to sit at a low table soon.";"Vamos a sentarnos en una mesa baja pronto."
"10";"A new stand displays bright vegetables today.";"Un puesto nuevo muestra verduras brillantes hoy."
"11";"An old basket hangs beside the counter.";"Una canasta vieja cuelga junto al mostrador."
"12";"A young cashier organizes the fresh bills.";"Una cajera joven acomoda los billetes frescos."
"13";"They are going to try the first salsa now.";"Van a probar la primera salsa ahora."
"14";"The last basket holds warm tortillas inside.";"La última canasta tiene tortillas calientitas adentro."
"15";"We return to the same friendly vendor again.";"Regresamos al mismo vendedor amable otra vez."
"16";"You pick another snack to share later [sing, inf].";"Eliges otro antojito para compartir después."
"17";"The only table free waits near the window.";"La única mesa libre espera cerca de la ventana."
"18";"We finish the entire plate without rushing.";"Terminamos el plato entero sin prisa."
"19";"The flavors taste different but very comforting.";"Los sabores saben diferentes pero muy reconfortantes."
"20";"They are going to buy several drinks next.";"Van a comprar varias bebidas después."
"21";"I am going to take few bags for home.";"Voy a llevar pocas bolsas para la casa."
