to get up,levantarse
to go to bed,acostarse
to wake up,despertarse
to fall asleep,dormirse
to get dressed,vestirse
to take a shower,ducharse
to bathe,bañarse
to wash oneself,lavarse
to brush (teeth/hair),cepillarse
to comb one's hair,peinarse
to sit down,sentarse
to stand up,levantarse
to feel (emotion/physical),sentirse
to get angry,enojarse
to get tired,cansarse
to hurry,apurarse
to stay,quedarse
to leave/go away,irse
to call oneself,llamarse
to become,hacerse
to become (sudden change),ponerse
to become (character change),volverse
to realize,darse cuenta
to remember,acordarse
to forget,olvidarse
to complain,quejarse
to worry,preocuparse
to have fun,divertirse
to meet each other,conocerse
to kiss each other,besarse
