word,answer
English,Spanish
Hello,Hola
Hi,Buenas
Good morning,Buenos días
Good afternoon,Buenas tardes
Good evening / Good night,Buenas noches
,
Nice to meet you,Mucho gusto
My name is David,Me llamo David
What’s your name?,¿Cómo te llamas?
"Could you repeat your name, please?","¿Me repites tu nombre, por favor?"
,
"How are you? (informal, tú)",¿Cómo estás?
"How are you? (formal, usted)",¿Cómo está?
How’s it going?,¿Qué tal?
How’s everything?,¿Qué tal todo?
How’s everything going?,¿Cómo va todo?
Is everything okay here?,¿Todo bien por aquí?
How have you been?,¿Cómo te ha ido?
How’s your day?,¿Qué tal tu día?
How’s your day going?,¿Cómo va tu día?
How are you (this morning)?,¿Cómo amaneciste?
Everything ok?,¿Todo bien?
,
What’s new?,¿Qué hay de nuevo?
What’s new with you?,¿Qué me cuentas?
What’s going on?,¿Qué cuentas?
What are you up to?,¿Qué haces?
What’s up?,¿Qué onda?
,
"Good, thanks. And you?","Bien, gracias. ¿Y tú?"
Excellent!,¡Excelente!
Very good,Muy bien.
Everything is good.,Todo bien.
Thanks,Gracias
Thank you for your help.,Gracias por su ayuda.
You’re welcome,Con gusto
"Oh, that’s very kind.","Ah, qué amable."
That’s really nice of you.,Qué buena onda.
,
It’s nice to see you,Un gusto verte
Great to see you,¡Qué gusto verte!
It’s good to see you,¡Qué bueno verte!
Same here,Igualmente
,
See you,Nos vemos
See you later,Hasta luego
See you later today.,Nos vemos al rato.
See you tomorrow,Hasta mañana
See you soon,Nos vemos pronto
"Take care (informal, tú form)",Cuídate
"Take care (formal, usted form)",Cuídese
Have a good day,Que tengas buen día
Have a good rest,Que descanses
Hope everything goes well,Que te vaya bien
Have a good night.,Que tengas buena noche.
Hope you have a good night.,Que pases buena noche.
,
Do you need anything?,¿Necesitas algo?
Can I help you?,¿Te puedo ayudar?
Can you help me a little?,¿Me ayuda un poquito?
Can you help me a tiny bit?,¿Me ayuda tantito?
Is this okay?,¿Está bien así?
Of course,Sí claro.
Of course.,"Sí, cómo no."
Of course!,¡Claro que sí!
No problem.,No hay problema.
Don’t worry.,No se preocupe.
,
Excuse me (passing),Con permiso
Sorry,Perdón
"Excuse me (informal, tú)",Disculpa
"Excuse me? (formal, usted)",¿Disculpe?
,
What?,¿Cómo?
What did you say?,¿Cómo dijo?
What? (polite),¿Mande?
"Could you repeat it, please?","¿Me lo repite, por favor?"
Could you say it more slowly?,¿Me lo puede decir más despacio?
"More slowly, please.","Más despacio, por favor."
,
Soon (flexible),Ahorita.
