"id","word","answer"
"1","Where does the bus arrive?","¿A dónde llega el camión?"
"2","What time does it arrive?","¿A qué hora llega?"
"3","What time can you come back?","¿A qué hora puede regresar?"
"4","What time does the bus leave?","¿A qué hora sale el camión?"
"5","What is the license plate?","¿Cuál es la placa?"
"6","When is the next bus?","¿Cuándo sale el próximo camión?"
"7","How many stops?","¿Cuántas paradas?"
"8","How much approximately?","¿Cuánto aproximadamente?"
"9","How much is the ticket?","¿Cuánto cuesta el boleto?"
"10","How much is the ride?","¿Cuánto cuesta el viaje?"
"11","How much will it cost to go to…?","¿Cuánto cuesta ir a…?"
"12","How long is the trip?","¿Cuánto dura el viaje?"
"13","How long will it take?","¿Cuánto tiempo va a tardar?"
"14","Where does the bus leave from?","¿De dónde sale el camión?"
"15","What color is your car?","¿De qué color es su coche?"
"16","Did I leave something in the car?","¿Dejé algo en el coche?"
"17","Where do I buy a ticket?","¿Dónde compro un boleto?"
"18","Where should I wait?","¿Dónde debo esperar?"
"19","Where is the pickup point?","¿Dónde es el punto de recogida?"
"20","Where is the bathroom in the station?","¿Dónde está el baño en la central?"
"21","Where is the bus station?","¿Dónde está la central de autobuses?"
"22","Where is my seat?","¿Dónde está mi asiento?"
"23","Where is the taxi stand?","¿Dónde están los taxis?"
"24","Where do I pay?","¿Dónde pago?"
"25","Where can I get a taxi?","¿Dónde puedo tomar un taxi?"
"26","Where can I get an Uber?","¿Dónde puedo tomar un Uber?"
"27","Where do I transfer?","¿Dónde transbordo?"
"28","Where does the luggage go?","¿Dónde va el equipaje?"
"29","Is that the total price?","¿Ese es el precio total?"
"30","Is it nearby?","¿Está cerca?"
"31","Is this seat available?","¿Está disponible este asiento?"
"32","Is this the fastest route?","¿Esta es la ruta más rápida?"
"33","Is this my stop?","¿Esta es mi parada?"
"34","Is it far?","¿Está lejos?"
"35","Is the bus full?","¿Está lleno el camión?"
"36","Is this seat taken?","¿Está ocupado este asiento?"
"37","Is the meter on?","¿Está puesto el taxímetro?"
